,i
S8 1930,1
M46 1867,1
W45 1946,1
.B43887 1948,1
A3 1993,1
A3 1837,1
.S53473 1907e,1
.C7673 1923,1
.D3857 1895b,1
.W5675 1926,1
.J4665 1899,1
R64 1926,1
.W3566 1989,1
.M3437 1907,1
D36 2009,1
.A3 1873b,1
.P4375 1914b,1
P528 1956,1
F53 1858,1
.D8636 1881,1
R48 1934,1
.C453 1927,1
H38p 1974,1
.D87 1886,1
.L54 1989,1
.S2863 1898,1
C6 1948,1
T6 1889 c.2,1
.K46 1940,1
A218 1900z,1
C7 1914,1
.S7445 1904,1
.N6 1926,1
.P4 1972,1
F7537 1905,1
.T53 1918,1
.M4547 1935,1
R675 1959,1
.S655 1911,1
.M638 1813,1
.V36364 1931,1
E37 1933,1
.J25 1909,1
.T56 1898,1
Y68 2017c,1
.H37757 1861,1
.S53478 1922,1
.H42 1944,1
.H3954 1895,1
.K45 1982,1
.A73 2015,1
F735 1959,1
.R66 1930,1
.B5586 1914,1
.C549 1907,1
V43 1927,1
.H3764 1855b,1
.M328385 1882,1
J6 1877,1
S47 1890,1
B57 1973,1
.W46638 1875b,1
G45 1989,1
G7 1876,1
N33 1975,1
.P785 1939,1
F56 1917 c.2,1
O54 1978 c.1,1
.W3587 1898,1
C464 1922,1
.P3765 1882,1
N37 1919,1
.A43 1894,1
.F657 1876,1
R8 1906,1
D75 1919,1
A2 1905,1
.L48 1850,1
M67 1938,1
A5 1910b,1
.H37757 1907,1
.W47 1664,1
.U49 1853,1
.B63 1906,1
.R5365 1911,1
.W5637 1847,1
A273 1933,1
A296 1900z,1
.B8 1876,1
.R5 1983,1
.M32 1973,1
S59 1830 c.2,1
.B66 1904,1
K47 1977,1
.B439 1883,1
H7 1876,1
.B88 1900,1
.R5 1994 c.2,1
.T565 1910,1
.U5 1951,1
.M668 1931,1
R69 1878,1
B6 1938,1
P54 1912,1
.F6736 1911,1
.F75 1860 Index Suppl.,1
M49 1967,1
G73 1945,1
S63 1937,1
.I73 1930,1
.G62 1970,1
.S63 1901,1
.K6 1927,1
.V64 1983 c.1,1
C42 1932,1
S48 1937,1
M5 1848,1
M6 1902,1
L93 1916,1
.G74 1905,1
.P76 1877,1
B39 1999b,1
.M566 1901,1
.M668 1904,1
.L49 1859,1
.P37776 1879,1
.J69 1968,1
.S53 2018,1
.H33 1979,1
.A43 1970,1
.B4389 1891,1
H55 1903,1
.C3546 1911,1
.W52 2002,1
.A43 1942 c.1,1
.C5375 1921b,1
C78 1976,1
I53 1938,1
.K4 1922,1
.S64 1979 Index,1
.E18 1900,1
C37 1901 c.1,1
S78 1996,1
.F74 1989,1
Q38 1995,1
.S748 1847,1
.S264 1916,1
.K545 1854,1
.C6 1887,1
.V36378 1915,1
G68 1983 c.3,1
W45 2019,1
R676 1982,1
M67 1936,1
.S77 1905,1
.P836 1900,1
.S7635 1872,1
H4 1864,1
R44 1956 c.2,1
.S74 1903,1
.J44 1894,1
C5 1873,1
R2 1840,1
.A75 1906,1
.W44 1982,1
.C86656 1901,1
.F537 1981 Suppl. 1996,1
L8 1920z,1
.W464 1800zb,1
S38 2015,1
.P4555 1913,1
.N93 1930,1
.B691 1922,1
.O34 1932,1
.K47 1973,1
R44 1882,1
.N49 1849,1
.S497 1953,1
N5 1968,1
.C374 1901,1
.C658 1845 v.3,1
W4 1927,1
A2 1904 c.2,1
.M5 1943,1
.T53 1988,1
G45 1992,1
.S888 1900,1
M37 1866,1
.R59 1938,1
.W49p 1915,1
M99 1843,1
M56 1935,1
A53 2013,1
.R48 1856,1
L66 1938 c.3,1
.P4555 1867,1
B765 1987,1
.H4777 1895,1
.H38 1874,1
.H455 1938,1
W6 1857,1
I46 2002,1
.L5559 1896,1
C66 1882,1
.F76 1985,1
M85 1909,1
T6 1962,1
A182 1923,1
A4 1844,1
A4 1985,1
.T476 1851,1
.Y6 1885,1
S29 1896,1
.D4473 1950,1
N58 1850,1
.L584 1800z,1
.M32366 1917,1
M4 1918,1
.B3884 1932,1
H34,1
.H3787 1879,1
.P37776 1901,1
C58 1982,1
.S5468 1896,1
.T395 1917,1
.M366 1923,1
M64 1970,1
.M6775 1886,1
R46 1992 c.2,1
.B69 1886,1
.W4378 1928,1
.G7454 1916,1
.E5 1914,1
G837 1932,1
.H3793 1926,1
.M3544 1957,1
.L469 1909,1
.S53767 1948,1
.R87 1974 c.2,1
M37 1974,1
.L395 1891,1
.H695 1919,1
A35 1902,1
B4 1909,1
.C5375 1898b,1
R58 1890,1
.N49 1937,1
.R67 1975,1
S33 1864,1
.H555 1891,1
N51 1874,1
.E17866 1899,1
B6 1926,1
.N58 1978,1
.R484 1881,1
R44 1876,1
L85 1967,1
.A375 1950z,1
M46 1892,1
H3 1903,1
A33 1900,1
W43 1966,1
.A42 1955,1
.W6637 1909,1
B43 1887,1
.B37 1900z,1
.M3 1947,1
.M67 1844,1
.C37778 1885,1
S77 1883 c.4,1
H6 1893,1
.P3754 1945 c.1,1
.F537 1981 Suppl. 2001 pt.1,1
D46 1896b,1
.P375 1917,1
.B4363 1931,1
C68 1926,1
.P5 1914,1
O42 1978,1
A78 1879,1
Y68 2016,1
.C37778 1890,1
.D874 1955p,1
T5 1911,1
J75 1907,1
B4 1935,1
.H4775 1846 c.1,1
V35 1884,1
.F36 1896 c.1,1
C65 1921 c.1,1
H843 1926,1
.M328384 1912,1
.W45 1900,1
S37 1915,1
H25 1974,1
.G79 1875,1
.S33 1975,1
C89 1887,1
.F24 1970,1
.C4466 1894,1
C66 1852,1
R48 1971,1
.S264 1895,1
.V53 1982 c.2,1
C47 1895,1
.T688 1854,1
.E947 1955,1
H434 1800z,1
.B65 1924,1
.M47377 1905,1
.V54 1913,1
.S774 1895,1
B55 1976,1
.H6327 1900,1
D47 2000,1
I573 1910,1
.P4366 1899,1
.D37 1896,1
H437 1871,1
.H65 1898,1
.B62 1967,1
.P43 1855,1
J64 1894a,1
O97 1852,1
.O83 1879,1
.R5344 1889,1
.C5398 1904,1
B6 1955,1
A43 1978,1
S68 1887,1
.B3791 1870,1
.B5413 1898,1
.D3857 1985,1
.J33 1926,1
.N54 1848,1
R454 2001,1
M46 1890,1
.B87 1897,1
.H6556 1925,1
S6 1849,1
P66 1869,1
.S25 1953,1
.H378 1901,1
.T376 1890,1
.B76 1985,1
S54 1938,1
R67 1920,1
.C334 1968,1
B66 1954,1
1855 B37 1954,1
W55 1910 c.2,1
.M35 1939,1
.F75,1
.H336 1976,1
C48 2004,1
1878b,1
A4 1827,1
B71 1889,1
.K43 1899,1
.L694 1908,1
U65 1901,1
.R875 1833,1
.E45 1886,1
M68 1845,1
.L66 1894,1
.M2 1904,1
.T566 1889,1
A33 1842,1
B57 1990,1
.M143 1924,1
A77 1982,1
.W5555 1910b,1
T73 1982,1
W37 1876,1
N493 1923,1
.Y38 1900z,1
.C694 1930,1
.E82 1876,1
.B863 1961,1
.E42 1809,1
C83 1979,1
.J33 1951,1
.L68 1884,1
.W555536 1896b,1
.E24 1943,1
.N39 1814,1
.W75 1954,1
.M36 1955,1
.B86 1871,1
.Y6 1937,1
C65 1858 c.1,1
.C377945 1925,1
.H354 1900,1
.F49 1971,1
D68 1847,1
F5 1900 c.2,1
.C6838 1963,1
.M5557 1911c,1
.B77 1879,1
.A546 1905,1
.E54 1882,1
U54 1902,1
C52 1859,1
.S5335 1800z,1
.M86 1873,1
R53 1853,1
.E3393 1903b,1
.C36 2001,1
L65 1996,1
.C6 1899,1
.D88 1893,1
U583 1985,1
R46 1853 c.1,1
.B75 1919,1
A4 1962,1
.G85 1909,1
B48 1964,1
.L5637 1889,1
.C53 1967,1
.W5533 1893,1
C3 1950,1
.K42 1929,1
D9 1867,1
U5 1919,1
I57 1891,1
.R6894 1972,1
.C69 1849,1
M47 2005,1
.F5 1926,1
.U36 1969,1
.B77 1934,1
.M68 1909,1
.N45 1947,1
.G399 1894,1
.A554 1900,1
S26 1879,1
F57 1869,1
.F748 1890,1
.J3647 1901,1
A66 1901,1
.W5555 1907,1
W35 1941,1
A584 1932,1
.B8735 1953,1
.D38 1931,1
.P41 1911,1
.N48 1985,1
.P43739 1941,1
.S5366 1968,1
B75 1985 c.4,1
F85 1890,1
C46 1916,1
.P3775 1897,1
O6 1897,1
.G3674 1969,1
.C383 1914,1
I55 1971,1
J49p 1926,1
L66 1932,1
.M445 1954,1
.H57 1972,1
D63 1850,1
.S677 1984,1
T543 1969,1
C46 1874,1
.M3346 1929,1
W45 1865,1
T46 1912,1
A66 1868,1
G116 1779,1
.D644 1894,1
.B5169 1907,1
.P4555 1903,1
.N494 1878,1
B87 1927,1
C65 1861p c.2,1
.H6769 1955,1
.M433 1946,1
.W35 1994,1
.W3735 1891,1
.B749 1982 c.4,1
.D5 1903,1
H7 1932,1
.C8737 1906,1
.W54 1888,1
.C35 1929 c.2,1
.G88 1865,1
E7 1885,1
O53 1911,1
O73 1994,1
S54 1914,1
D43 1910,1
S727 1999 c.1,1
.S8 1827,1
.D4336 1883b,1
.B66 1853,1
.T47675 1905,1
.H58 1844,1
1802,1
.F53744 1890,1
.L555 1928,1
.C48 1787,1
H34 1965,1
A455 1916,1
.D398 1900,1
W4 1884,1
J3 1976,1
N49 1860,1
.G4774 1976,1
A3 1921,1
.B8 1856,1
.K4556 1853,1
K56 1866 c.1,1
A53 1910,1
.H47 1801,1
F57 1907,1
.A76 1976,1
.M98 1859,1
T75 1908,1
.S73 1923,1
.S44 1915 suppl.,1
.B76 2011,1
.H3545 1907,1
W6 1894,1
G4 1969,1
.C5373 1912,1
.S7484 1906b,1
P67 1956,1
.H869 1911,1
.B5411 1918,1
C67 1950 c.9,1
.H3954 1912,1
P64 1861,1
N58 1950z,1
H57 1873p,1
S74 1889,1
A24 1972,1
B8 1905,1
.H46 1900,1
.C446 1917,1
.T7 1889,1
T43 1880,1
.K5465 1922,1
.C76653 1918,1
.C88 1872,1
F4 1988,1
.W3555 1863,1
H8 1907,1
.K5 1902,1
.B739 1915,1
S65 1923,1
.W5555 1882,1
.W43786 1916,1
D58 2009,1
.L49 1956,1
A44 1898,1
.W55 1972,1
.K6 1835,1
D3 1894,1
.R674 1895,1
.W655 1907,1
B66 1901,1
C46 1910,1
.H687 1948,1
.H633 1886,1
1854,1
1985,1
G74 1980,1
.T78 1871,1
.R3 1919,1
I54 1977 c.1,1
M4 1922,1
.M3 1978,1
C6 1903,1
E95 1988,1
.B751 1925,1
V57 1838,1
A253 1929,1
.G7446 1895,1
.S7375 1927,1
.J466 1872,1
.O42 1865,1
.L46 1885,1
.P95 1953 c.1,1
.J77 1930,1
.G84 1983,1
.B35 1898,1
S475 1882,1
.M854 1919,1
.M33 1931,1
N5 1889,1
F48 1900z,1
.H65 1906,1
.S783 1800z,1
.U56 1868,1
A72 1971,1
.M473755 1903,1
.S5347 1920,1
A85 1973,1
P75 1986,1
.B6784 1687,1
.B742 1908,1
.R3966 1931,1
E8 1969,1
.M3237 1879,1
L4 1964,1
.B39 1959,1
.E9 1911,1
.G856 1956,1
.E44 1883,1
.B6782 1926,1
S93p 1990 c.2,1
I16 1985,1
B665 1889,1
.L77 1904,1
.A336 1928,1
.C48 1983,1
.T476 1954,1
.U35 1901,1
C4 1921,1
.B877 1878,1
.D4665 1963 c.1,1
.P43635 1900z,1
A453 1865,1
C67 1883p,1
.M446,1
.T476 1917b,1
R57 1802,1
.W45 1872,1
.M678 1901b,1
F47 1892,1
K36 1928,1
R58 1894,1
.S763 2013,1
.E29 1924,1
D37 1925 c.1,1
.S53755 1971,1
.C69 1923,1
F53 1954 c.3,1
B37 1909,1
S33 1991,1
.C667 1879,1
.C78 1898,1
M47 1900z,1
.C6654 1903,1
.E3393 1916,1
.R587 1897,1
.B468 1901,1
H47 1988,1
.N49 1967,1
R44 1882 c.2,1
P75 1996 c.1,1
N5 1927,1
G7 1923,1
K37 1980,1
.O88 1921,1
.V354 1882,1
W45 1882,1
.C433 1964 Author index,1
P747 1862,1
.E15 1913,1
.H85 1963,1
.A656 1904,1
G76 1934 c.1,1
K56 1887b,1
K564 1904 c.4,1
.M37 1897,1
.H467 1919,1
.J366 1903,1
M14 1917,1
.B86 1733,1
.C537 1870,1
H8 1908,1
.S548 1933,1
.S65 1870,1
B753 1916,1
.C5375 1896,1
.M3 1892,1
.H698 1900z,1
C68 1923,1
.F534 1904,1
.H583 1947,1
.H535 1943,1
.W384 1867,1
S65 1908,1
.D5555 1943,1
C9 1909,1
M55 1901,1
.H3674 1937,1
H34 1959,1
N683 1859,1
.M6785 1878,1
M46 1879,1
L33 1832,1
L58 1913,1
D68 1907,1
B755 1934,1
.W56347 1902,1
C33 1896,1
.D634 1912,1
.H53 1951,1
.B466 1899,1
.W464 1898,1
J64 1950 c.2,1
H67 1897,1
.C89 1884 c.2,1
.P5335 1884,1
.C66378 1949,1
.I34 1800,1
.B5413 1916,1
.S86 1838,1
M75 1967,1
.A5 1980,1
S635 1905,1
.M3545 1931,1
F4 1965,1
L66 1841,1
B3 1954,1
B49 1985 c.3,1
.C548 1880z,1
.H65569 1900z,1
L53 1881,1
S43 1907,1
C48 1840,1
.A75 1912,1
A15 1849,1
P43 1923,1
C69 1930,1
.S554 1895,1
.B4 1870,1
P66 1889,1
.S625 1929,1
G339 1967,1
.W75 1914,1
G74 1991e,1
R64 1968,1
.F537 1981 Suppl. 1984,1
N586 1857 c.1,1
.E96 2009,1
.U4 1901,1
.W663 1894,1
T43 1904,1
A76p 1924,1
.S5663 1904,1
.J47 1860,1
A29 1933p,1
T78 1998,1
.O44 1971,1
.C67 1908,1
.O353 1858,1
.D47 1930,1
.H683 1904,1
.W37 1980,1
.E3746 1955,1
.G35 1870,1
.W56 1981,1
.L568 1881,1
R46 1999,1
.T395 1916,1
.T73 1956,1
B874 1976,1
.V15 1853,1
.L363 1957,1
.L67 1975,1
.C6 1968 c.1,1
.G64 1810,1
.B55 1981 c. 2,1
H37 1913,1
.R38 1891,1
.E34 1872,1
.B55677 1903,1
.B516 1963,1
.P385 1892,1
.H65 1972,1
.B677 1851,1
.B5226 1927,1
.H6344 1900b,1
.S625 1932,1
.N498 1962,1
.H67 1928,1
.R83 1927,1
C5 no.12,1
A3 1935,1
.W3855 1900,1
K47 1983,1
.G46 1899,1
B68 1863,1
.G85 1988,1
P746 1900z,1
D465 2007,1
V36 1847,1
.E4 1925,1
.I44 1974,1
B7 1958 c.1,1
.H36 1898,1
.H46 1960,1
S74 1895,1
.A624 1877,1
S83 1909,1
.G55 1888,1
F37 1932,1
.S2636 1922,1
.D64 1918,1
.S8 1941,1
.H65 1887,1
.M4 1863,1
.D772 1937,1
F57 1853,1
N58 1980,1
.P5374 1889,1
M54 1918,1
C6 1911,1
S77 1883,1
.P76 1955,1
.S38 1969,1
.C6 1873,1
M82 1968,1
W56 1960,1
.A76 1873,1
F57 1906,1
.B745 1953,1
T88 1896,1
A79 1947,1
.A6 1873 c.1,1
I55 1964,1
A9 1897,1
W66 2010,1
V36 2002,1
.C76 1871,1
U54 1983b,1
A224 1940,1
.M33487 1929,1
P778 1954,1
H33 1960,1
.W5764 1918,1
.C3774 1891,1
I55 1986,1
.A5x 1920,1
.G896 1961,1
L36 1904,1
R49 1886,1
D6 1959,1
M68 1962 c.2,1
.S74 1951,1
S6 1958,1
A24 1934,1
.B86 1853,1
S332 1869 c.2,1
.P5347 1875,1
.W45 1976,1
S35 1830,1
.F6 1937,1
.W45 1910,1
.P41 1859,1
.S625 1900zd,1
.H22 1963,1
.B6938 1850,1
.D3 1959,1
.N696 1907 c.2,1
.F26 1985,1
.S7375 1972,1
T75 1930,1
Z53 1882,1
.M5 1933,1
B33 1914,1
A243 1884,1
.S59 1982,1
.D817 1903,1
.C876 1795,1
S84 1864,1
.A18 1795,1
.E435568 1957,1
.B77 1962,1
.G53566 1903,1
.H55 1960,1
.S5364 1924,1
J6 1874,1
.S866 1900z,1
.C548 1881,1
.D89 1908,1
H69 1857,1
Z83 1978,1
.R59 1934,1
T47 1852,1
S56 1965,1
.H388 1996,1
L54 1875 c.1,1
.S59 1872,1
S47 1959,1
.W45 2005 c.2,1
.K58 1974,1
.A33 1801,1
D38 1936,1
.G3737 1926,1
.L646 1930,1
S4 1903,1
1900z .M48,1
.B69 1864,1
.W66 1856,1
E33 1954,1
.W6 1880,1
H9 1878,1
I7 1882,1
J86 1966,1
U63 1926,1
R5 1952,1
.C5344 1940,1
C6 1996,1
A65 1890,1
A263 1952,1
.V65 1865,1
S762 1996,1
.H3796 1932,1
K43 1908,1
.M6776 1882,1
B85 1897,1
.O13 1779,1
G42 1938,1
.U54843 1972,1
F67 1899,1
.H444 1914,1
.S54677 1900z,1
.D6 1863,1
.P385 1894,1
.T734 1895b,1
S7 1859,1
.R633 1902,1
F85 1914,1
.T4787 1878,1
.H36263 1900,1
.B69 1931b,1
M46 1828 c.1,1
.W464 1965,1
.W43452 1923,1
.C353 1914,1
N585 1848,1
H86 1980,1
.P48 1877,1
.T4765 1910,1
.W373 1911,1
.S659 1879,1
.A74 1907,1
.A2 1873,1
.H3674 1929,1
S25 1978,1
B44 1912,1
.W464 1912,1
.B83 1920,1
.W5555 1925,1
.B5 1888,1
.D653 1990,1
.R663 1966 index,1
N58 1978p,1
.E3393 1891,1
S5 1983 c.2,1
.A348 1864,1
.C384 1909,1
.O75 1970,1
L3 1885 c.2,1
C6 1873,1
.C87385 1893,1
.L54 1834,1
E49 1860,1
.M3481 1947,1
P47 1973,1
B55 1960,1
.L9 1884,1
D57 1908,1
.S5645 1973 c.2,1
.A27 1889p,1
.A16,1
.S8 1855,1
.C43 1917,1
.L49 1891,1
.J64 1844,1
.W464 1898b,1
.V365 1957,1
.N44 1870,1
.T476 1936,1
.B445 1883,1
.F698 1931f,1
W55 1940,1
.M327385 1918,1
.M5554 1934,1
.T47 1979,1
.P9 1881,1
.A39 1898,1
A64 1878,1
.M47358 1892,1
.U58 1949,1
.T2 1936,1
L97 1901,1
.J37 1896,1
.S625 1927,1
.B868 1970,1
D6 1968,1
.M5554 1908,1
.S5435 1889,1
.R43 1991b,1
A3 1834,1
.T6 1913,1
.H85 1900,1
.D53 1982,1
U5 1974,1
A3 1874,1
.R93 V6,1
E44 1900z,1
.P73 1892,1
R456 2005,1
M6 1881,1
P5 1964,1
.C85p 1891,1
.W65 1912b,1
F73 1814,1
.R6746 1892,1
.P586 1917,1
.S866 1854,1
H39 1837,1
V63 1983 c.1,1
.W55 1879,1
B56 1891,1
1877,1
F535 1976,1
.Z83 1905,1
.C658 1879,1
W7 1902 c.2,1
R88 1855,1
R54 1906,1
.N767 1825,1
.E93 1854,1
.M473956 1959,1
.M5554 1900,1
.L44 1878,1
.P3754 1947,1
.E3 1892,1
.M334 1906,1
.M354 1895,1
J2 1902,1
.K5475 1913,1
R68 1990,1
.I79 1893,1
.F558 1940,1
.P12 1983,1
.L44 1906,1
B55 1900,1
.R523 1965,1
T36 1994,1
L4 1909,1
.S625 1891,1
H69 1886,1
.I15 1998,1
C64 1975,1
.B779 1913,1
.N47 1982,1
.C885 1897,1
.J364 1898,1
F53 1916,1
.B778 1955,1
R441 1859,1
.M3276 1911b,1
B754p 1898,1
.C693 1922,1
.U54 1982,1
S4 1788,1
.P3754 1900,1
.S7476 1907,1
.J37 1955,1
.C35 1911,1
.L3 1926,1
.S6 1964,1
.M33 1973,1
.K5455 1913,1
.P753 1910,1
H6 1955,1
.H142 1589,1
.O49 1926,1
.S43 1976,1
.B7674 1934,1
.B68 1907,1
W95 1912,1
.W5566 1904,1
.B8734 1857,1
D76 1992,1
.B6775 1917,1
.P4375 1914,1
.H36266 1922,1
.W38 1938,1
.T465 1897,1
W66 1906,1
.M6776 1861,1
.P547 1967,1
H47 1928,1
C48 1895,1
M48 1893,1
W3 1935,1
.W464 1899,1
H434135 1881,1
.L47 1881,1
K7 1976,1
C54 1865,1
.T46 1901,1
M34 1885,1
.C4363 1925,1
G85 1972,1
U55 1865,1
N44 1998 c.3,1
S43 1901 c.1,1
.D3857 1908b,1
C55 1901,1
.O34 1932 c.2,1
C66 1880,1
.R39 1893,1
.O946 1929,1
.J4665 1863,1
W235 2018,1
.P457 1925,1
.B668 1910,1
.B5455 1912,1
.A5 1892,1
.V375 1906,1
.S7667 1910z,1
.C87385 1907,1
B79 1825,1
.B3525 1896,1
Y68 2017,1
A2 2003,1
.S53458 1876,1
.W6 1826,1
.W357 1970,1
N58 1978,1
.Z45 1942,1
N63 1872,1
S43 1917,1
.P66 1900,1
.V35 1857,1
.W3556 1910,1
A5 1900,1
B37 1847,1
.C66535 1885,1
.L4433 1946,1
P6 1820,1
W65 1798b,1
.N7 1914,1
.W55557 1908,1
.C66767 1938,1
.L457 1886,1
.R43 1925b,1
.A3 1897,1
.M36 1950,1
.V667 1901,1
G7 1913,1
N4 1975,1
.C16 1923,1
L45 1968,1
C47 1932,1
.S57 1913,1
.V3647 1912,1
M3 1857,1
.R66 1905,1
.A633 1889,1
A3 1826,1
.T4764 1915,1
J63 1928,1
T74 1938,1
M35 1841,1
.D634 1898b,1
.R5346 1917,1
.D365 1874,1
.B354 1905,1
.G95 1864,1
.B3545 1907,1
.W4378 1898,1
H85 1963,1
A44 1909,1
B73 1905,1
B371 1941 c.2,1
.C45 1876,1
G475 2010,1
I84 1923,1
.B465 1930,1
.K67 1847,1
.V3695 1913,1
.E64 1938,1
C68 1891,1
.M35 1895,1
M56 1856,1
R43 1928,1
.C63 1914,1
P67 1931,1
H465p 1904,1
.B766 1923 c.2,1
N6 1927 c.1,1
.B375 1927b,1
.F655 1865,1
.V36 1890,1
I572 1921,1
Y67 1877,1
.D68 1884,1
.G68 1904,1
.P54 1898,1
.L596 1912,1
.B352 1912,1
.C5375 1883b,1
N55 1941 c.1,1
P67 1955 c.1,1
.W96 1849,1
.S53578 1926,1
.H566 1856,1
.A36 1917,1
.F5656 1939,1
M48 1952,1
.G5353 1927,1
.C635 1993,1
B76 1871,1
.R535 1982,1
.W43846 1902,1
.U54 1968 c.1,1
.V64 1983 c.2,1
.B43882 1943,1
N57 1942,1
.S628 1881,1
.B53 1916,1
I54 1892,1
C29 1860,1
.G455 1914,1
.M39 1958,1
1875,1
R44 1881 c.3,1
.H63 1945,1
W35 1914,1
.W5555 1897,1
.K45 1972,1
.L77 1910,1
.S2646 1975,1
.R655 1870,1
T37 1882,1
.G6633 1914,1
.N85 1988,1
.E433 1905,1
M3 1956,1
.B3545 1925p,1
A45 1835,1
P65183 1887,1
.S83 1907,1
.H934 1880,1
W62 1933,1
L3 1892,1
.W66 1909,1
.K54657 1905,1
.B366 1916b,1
.C769 1903,1
P75 1919,1
.U55 1934,1
.M32738 1932,1
.E333 1877,1
.M25 1912 c.2,1
.R844 1896b,1
N53 1857,1
.W4363 1929,1
P83 1824,1
C45 1918,1
.N494 1948,1
.D8 1983,1
.S77535 1991 c.1,1
G74 1991f,1
.R63 1984 c.1,1
W42 1962,1
.B37 1978,1
R7 1870 c.2,1
.N42 1910,1
.U4 1969,1
B48 1910,1
.T3 1869,1
.H362 1912,1
K44 1973,1
F573 1863,1
A64 1927,1
F53 1920 c.2,1
.M3265 1938,1
.M5554 1917,1
.U643 1884,1
.T6776 1890,1
.S55 1868,1
.N3 1870,1
Y67 1880,1
.R45 1826,1
.S6587 1881,1
.B52 1958 c.2,1
T95 1942,1
G5 1936,1
I56 1907,1
.C94 1996,1
.M6858 1906,1
.G37375 1992,1
.G653 1955,1
T2 1883,1
.K65 1882,1
.S625 1931,1
.J6467 1900z,1
.B77 1977,1
.D67749 1921,1
K87 1883,1
.R3633 1879,1
.R39 1849 c.2,1
U7 1905,1
.S83 1973,1
.B44 1865b,1
.P43355 1897,1
.S54677 1927 suppl. 1929,1
.P96 1882,1
D69 1995,1
B76 1873 c.1,1
R441 1942,1
.W3556 1900z,1
.K37 1900z,1
.W32 1897,1
.A62 1898,1
B74 1994 c.2,1
.B4 1966,1
.R634 1876,1
.W464 1800z,1
.E44 1863,1
A291 1970,1
.S37 2019,1
.C8884 1898,1
C37 1890,1
P742 1957,1
.D8 1847,1
.C66555 1904,1
.S7373 1942,1
.J68 1772,1
.W663 1903,1
C47 1929,1
.C334 1895,1
M43 1964,1
.L4435 1906,1
.P4 1956,1
W5 1886,1
.H544 1924,1
P37 1857 c.2,1
A266 1935,1
.L444 1900z,1
M49 1901,1
P83 1904,1
.S543 1952,1
.C895 1882b,1
T88 1863,1
G73 1936,1
.A44 1891,1
.G436 1880,1
.C87385 1889,1
F57 1937b,1
B53 1915,1
O84 1937,1
.N42 1904,1
.M8 1906,1
.K78 2006,1
.F34 1976,1
W6 1840,1
.M3231 1907,1
W453 1940,1
S8 1897,1
A5 1869,1
.J82 1909,1
.C76 1933,1
.R5754 1906,1
.S3 1970,1
C43 1867,1
S76 1887,1
.C5 1948,1
K48 1973,1
W56 1946,1
.S547 1910,1
.B87783 1911,1
.L8 1877,1
.S87 1926,1
A2765 1959,1
.V3693 1946 Appendix,1
V63 1983 c.3,1
S8 1892 c.2,1
.A4 1923,1
.W387 1909,1
.M39 1886,1
.M78 1912,1
C43 1993,1
C36 1915 c.1,1
.R6 1919,1
.C37 1876,1
.M3294 1929b,1
F87 1968 c.2,1
C461 1915,1
A5 1932,1
.C4376 1894,1
U6 1961,1
.P4366 1890 c.2,1
.H4674 1894,1
R44 1953 c. 1,1
.N695 1916 c.1,1
.C26 1953 c.2,1
.C66378 1800z,1
.E4647 1886,1
N44 1871,1
.C53 1755,1
.R878 1886,1
.B44 1870b,1
.S53473 1907d,1
.S49 1921,1
.H55 1949,1
P7 1938,1
A274 1971,1
D97 1969,1
.O72 1983 c.2,1
.D3986 1959,1
.V3683 1959,1
.S625 1934,1
B46 1970,1
.S768 1929,1
E54 1879,1
N38 1898,1
.K547 1894,1
F38 1966,1
.C6546 1906,1
H33 1896,1
S34 1866,1
R44 1958,1
.H553 1925,1
.C8884 1906,1
S87 2000b,1
.C6354 1948,1
.N495 1916,1
.L6 1700,1
W45 1971,1
.M32938 1916,1
A24 1981,1
.P88 1886,1
B76 1885p,1
.R877 1879,1
.S547 1905,1
.G56463 1899z,1
H35 1806,1
.L635 1916,1
.M433 1901 Index,1
.H8683 1928,1
.L483 1927,1
.P564 1969,1
.S779 1970,1
.D76 1868,1
.H14 1897,1
N49 1976,1
.H44 1897,1
P37 1969,1
.B4784 1918,1
.H39565 1893,1
.H467 1929,1
.R47 1898,1
.Z663 1908,1
H579 1840 c.3,1
B8 1809,1
S74 1968,1
C8 1905,1
.D3857 1888,1
C73,1
.A46 1892,1
Y66 1882,1
1870,1
.B8733 1929,1
M56 1908,1
"B76 1857, c.2",1
.A5547 1900z,1
.B7355 1872,1
.N58 1859,1
H36 1874a,1
.M356 1889,1
.B48 1849,1
.H43 1873,1
.E4398 1910,1
.S7474 1905,1
B7644 1874,1
J48 1908,1
.U53 1921,1
P43 1976,1
M35 1902 c.1,1
.B383 1898,1
.E677 1942,1
R58 1955,1
B33 1907,1
.C34 1952,1
W85 1828,1
U6 1854,1
W445 1955,1
.A96 1912,1
.B742 1900z,1
Z55 1949,1
.C55 1968,1
D68 1970,1
.T568 1919,1
.J66 1924c,1
.F673798 1920,1
.P87 1881,1
S48 1904,1
C7 1973,1
.C8885 1939,1
M68 2012,1
.S53 1899,1
P38 1928,1
.E87 1938,1
.H34 1881,1
.H52 1812,1
.G378 1949,1
.B77 1905,1
.C69 1967,1
.B3545 1872,1
S56 1862,1
.S5335 1901,1
.B3764 1943,1
.M67 1905,1
G6 1976,1
G46 1837,1
.C434 1955,1
.B43 1911,1
.M8773 1900,1
C526 1847,1
.K8 1983,1
.C64 1910,1
.H78 1879,1
E3 1856,1
C66 1991 c.2,1
.P37 1907,1
C86 1995,1
F579 1914,1
S86 1955,1
.W3845 1925,1
