,4
Reclass from NYS G6135 1822;,1
Reclass from Am Rev C6548;,1
reclass from Geneal. sN615L;,1
Reclass from Fol. SB471.W41 1978;,1
Reclass TG23.A67;,1
Reclass from CS71.C467 1895;,1
Reclass from Geneal. P9478L;,1
Reclass from R/A L9355 1920;,1
Reclass from NYC C3557;,1
Reclass from NJ L5116g v.3;,1
Reclass from Geneal. B8150m;,1
reclass from PZ7.B2253 He 1996;,1
Reclass from NYC W6753;,1
Reclass from R/A Ev26;,1
reclass from NYS H76 C8185;,1
Reclass from NYC R2845;,1
Reclass from TC624.N58 M46 1816;,1
Reclass from Geneal. H3965ch;,1
Reclass from JS331.N5 K5 1853;,1
reclass from CS71.C443 1903;,1
reclass from Am. Rev. C6295;,1
Reclass from Z997.B73 1927 pt.1;,1
Reclass from NYS T75 W4345c;,1
Reclass from R/A N3825;,1
Reclass from Geneal B2332m;,1
Reclass from Geneal. OL155o;,1
reclass from black hist W5855;,1
Reclass from Vault H1805 v.2 no.4;,1
Reclass from LA339.B76 S69p 1938;,1
Reclass from NJ B6654 D2983b;,1
reclass from geneal AL533a;,1
reclass from NYS L58 H8145c;,1
reclass from Vit Rec Burlington Flats;,1
Reclass from L.I. C6265 [1st ed.];,1
Reclass from CS71.C433 1911;,1
reclass from geneal AL133a;,1
reclass from Vit Rec NYS Colliers;,1
reclass from Queens C8385;,1
reclass from NYS AL13 AL135co;,1
reclass from bl2710.f33 1902;,1
Reclass from NYC P1885;,1
Reclass from NYS C297 L6385;,1
Reclass from Geneal. Coll. W6765;,1
Reclass from Census Texas 1840;,1
reclass from PZ3.H246 Que;,1
Reclass from Upstairs TG25.N544 H86 1903;,1
reclass from tf52.n58 c6 1856;,1
Reclass from Vault W6734;,1
reclass from NYS F6415hi vol.3;,1
reclass from NJ M2656 T8884;,1
reclass from PZ3.T272 Lad;,1
Reclass from PZ3 .G387 Tom;,1
reclass from Arts D75 P2525;,1
Reclass from Geneal B1535b;,1
Reclass from TH9505.N54 P73 1840;,1
Reclass from Vault M3815;,1
Reclass from NYS Ut3 Se525;,1
reclass from pm7831-75 .v36 1870;,1
Reclass from NYS H8905;,1
DO NO PRINT;,1
Reclas from B829.S2;,1
Reclass from R/A So875f Box 19;,1
reclass from Geneal. B28417s;,1
Reclass from L.I. G5 1905;,1
Reclass from PZ3.S226 Tw;,1
reclass from PZ3.S6433 To;,1
Reclass from Geneal. AL548c;,1
Reclass from Geneal. St325d 2d ed. 1862;,1
Reclass from NYS N2135;,1
Reclass from NJ H5597 W8685;,1
Reclass from Geneal. P1415pc;,1
Reclass from Geneal. SP663h;,1
reclass from geneal. B1715or;,1
reclass from geneal AL531ao 2nd ser;,1
reclass from NYS On2 N1675;,1
Reclass from Geneal. R76r;,1
reclass from NJ W5897 K4895;,1
Reclass from NYC L9845;,1
Reclass from Vault L3515;,1
reclass from R/A AY256.B44 1824;,1
reclass from BV395.P59 1864;,1
Reclass from NYC W525;,1
reclass from geneal. At825d;,1
Reclass from Geneal B8185b;,1
Reclass from Am Rev F5375l;,1
Reclass from Geneal B1598c;,1
reclass from PZ3.S667 Mur;,1
Reclass from Arts B5 F9595s;,1
Reclass from CS71.L114 1987;,1
reclass from CS71 .C177 1884;,1
Reclass from Geneal. St2846c;,1
Reclass from Geneal B21158w;,1
Reclass from PZ3 .M816 S;,1
reclass from CS71.C14;,1
reclass from L.i. T6175s;,1
Reclass from NYS W56 SL535;,1
Reclass from CS71 .W22 1918x;,1
reclass from NYS P98 H5575;,1
reclass from PZ3.B439 Hes;,1
Reclass from NYS R297 L1295c;,1
Reclass from Vault Ad286;,1
Reclass from NYC Sq585;,1
Reclass from Black Hist. M1135bf;,1
Reclass from Geneal. Guides G2865 1980;,1
Reclass from Census NewYork 1790;,1
Reclass from NYS R58 Os255;,1
reclass from NYS H87 Eb375m;,1
reclass from Census Idaho 1870;,1
Reclass from Upstairs CT275.G7368 B44 1885;,1
Reclass from NYS H87 L5235;,1
reclass from NJ Sw3303 H7935;,1
reclass from Va. Y82 C624;,1
Reclass from NYC B6145;,1
reclass from Fol. PN6101.L 1934;,1
Reclass TJ1195.H86;,1
reclass from PN6101.M35 1884;,1
Reclass from Y 3595 Box 8;,1
Reclass from CS71.C487 1906;,1
reclass from CS71.A65 1907;,1
Reclass from Geneal. P9265chp;,1
reclass from NYS J2805 2nd series;,1
reclass from PZ3.G821 Thr;,1
Reclass from Geneal. St628s;,1
reclass from Census Iowa 1850 Fayette County;,1
Reclass from NYS P861 R3345a;,1
Reclass from Black Hist. H2425;,1
Reclass from Geneal. C5482g;,1
Reclass from Geneal K6285ki;,1
Reclass from NYS Q23 W6995;,1
reclass from NA6243.B7 W5 W55p c.1;,1
Reclass from Geneal C5476h;,1
reclass from geneal. At541h;,1
reclass from CS71.C2775 1929;,1
reclass from CS71 .C323 1912;,1
Reclass from NYS B46 V3995;,1
reclass from Geneal. P1415cl;,1
reclass from NYC W4985;,1
reclass from u.s. col hist W5555sc;,1
Reclass from Geneal. Sh472srh;,1
reclass from Geneal. B29251b;,1
Reclass from Geneal. Guides Z1155;,1
Reclass from Geneal. P2199sap;,1
reclass from NJ P2733 N3385p;,1
Reclass from CS71.C487 1874;,1
Reclass from Queens K7735;,1
Reclass from Vault E281.T14 1808 Box 9;,1
Reclass from Geneal. H1405y;,1
reclass from NYS N63 D3505;,1
reclass from Queens C6345;,1
Reclass from NYS M725 R2725;,1
Reclass from BX7233.B44 1887;,1
Reclass from Arts B5 B5485s;,1
Reclass TS199 W44;,1
reclass from NYS F7705;,1
Reclass from Geneal. Coll. V8195 v.1;,1
reclass from Geneal. P5465ph;,1
reclass from LC stacks Bklyn P.V. 6 no. 4;,1
reclass from Arts D9 St765;,1
Reclass from NYC H9725;,1
reclass from NYC M4525;,1
reclass from CS71.T7177 1944;,1
Reclass from NYC R2595;,1
reclass from Geneal. W1383w;,1
reclass from Geneal. B29252b;,1
Reclass from CS71.C519 1925;,1
reclass from geneal. W1233wh;,1
Reclass from NJ N4225 P6153;,1
Reclass from Arts D3 H2455;,1
reclass from NYS AL13 P9335;,1
reclass from Vault Q315;,1
Reclass from Geneal B21159h;,1
Reclass from Vault St535;,1
Reclass from Am Rev Ev155;,1
reclass from black hist R6315;,1
Reclass from Geneal. P7735h;,1
reclass from Geneal. St471s;,1
reclass from NYS H87 B6975;,1
Reclass from NYS C89 M6615;,1
reclass from Vault K8455;,1
Reclass from Geneal. AL265soa;,1
Reclass from PZ3 .M8265 Th;,1
Reclass TH9505.B5 L5;,1
reclass from NYS E1615;,1
Reclass from Geneal. Sh261fj;,1
reclass from NJ N4206m;,1
Reclass from CS71.C436 1913;,1
Reclass from Folio NYS W99 H6295;,1
Reclass from NYS Au19 H1425;,1
Reclass from R/A Ai945;,1
Reclass from NYS Os9 J6305;,1
Reclass from L.I. Sm69 M4735;,1
Reclass from Geneal. Sh633s;,1
Reclass from PZ3 .L319 Boy;,1
Reclass from Geneal. H1272hm;,1
reclass from Am. Rev. St935;,1
Reclass from PZ3.S89 Chi;,1
reclass from geneal. B1991j;,1
reclass from conserv box c and td405.s76 1854;,1
Reclass fom Am Rev P9695;,1
Reclass fromNYS St54 H3325;,1
Reclass from NYS G83 G1385;,1
Reclass from PZ3.B27 She;,1
reclass from NYS W522 Se935;,1
Reclass from Microfilm Geneal. B39181L;,1
reclass from E162.W48;,1
Reclass from Geneal. P2735L;,1
Reclass from PN6101 .S655 1892;,1
reclass from Arts D7 M9615;,1
Reclass from R/A R4925;,1
Reclass from PN6101.D34 1900;,1
reclass from NJ J4863 Im104;,1
Reclass from Box 4 R/A BX9773.C43 1817;,1
reclass from geneal Ay245a;,1
Reclass from Upstairs RA982.B7 B76 1851;,1
Reclass from Geneal. P2235pt;,1
Reclass from US Col. Hist. H1395;,1
Reclass from Geneal. P3805pv;,1
Reclass from CS71.C2778 1967;,1
Reclass from NYS W521 T2165;,1
Reclass from Vault C8175;,1
Reclass from Geneal. St628c;,1
Reclass from NYC D3765;,1
reclass from R/A Scr315;,1
Reclass from Geneal. An262s;,1
Reclass from CS71 .W616 1970;,1
Reclass from Geneal. Coll. R7658;,1
Reclass from Z664.L6 C56p 1951;,1
Reclass from NYC J4185;,1
reclass from PZ3 .D2948 Mea;,1
Reclass from Geneal. AL244a vol.2;,1
reclass from Geneal. W1193b;,1
reclass from NYS D95 R4745;,1
reclass from NJ At624 B2334;,1
Reclass from Geneal. Coll. Sa925 v.3;,1
Reclass from NYS D84 G6255;,1
Reclass from Geneal. P6665c;,1
Reclass from Vault G7985;,1
reclass from Arts D7 En785;,1
reclass from Arts D4 K8495a;,1
reclass from vit rec nys steuben co.;,1
Reclass from JV6450.J62;,1
reclass from NYS P34 H7895;,1
Reclass from CS71.M874 1994;,1
Reclass from E263.C5 W4;,1
Reclass from CS71 .W29 1978;,1
Reclass from Wills;,1
Reclass from Geneal P3115pw;,1
Reclass from NYS U17 C4365;,1
reclass from NJ N4203 St934a;,1
Reclass from Census Vermont 1800;,1
Reclass from Geneal. Coll. St545 v.2;,1
Reclass from Geneal. H1305st;,1
Reclass from Folio NYS T49 P3545;,1
reclass from NJ P9357 Iv3006;,1
Reclass from Am Rev P3375w;,1
reclass from NYS B7845;,1
reclass from Arts A1 B9505;,1
Reclass from CS71.B336 1908;,1
reclass from NYS F5515p;,1
reclass from geneal Ai665p;,1
Reclass from Am Rev M9195;,1
reclass from Vault L5105o;,1
Reclass from Geneal. St628sj;,1
Reclass from F129.B7 M67p;,1
reclass from Geneal. P4455pf;,1
Reclass from NYS M725 G7695;,1
Reclass from CS71.C433 1909;,1
Reclass from PZ3.B27 Wil;,1
reclass from newbooks box 22;,1
Reclass from PZ3 .E29 Cir;,1
reclass from L.I. Au765;,1
reclass from JK2319.B7 L66 [1870];,1
reclass from L.I. T6175in;,1
Reclass from Am Rev B6815;,1
reclass from Geneal. B1897;,1
Reclass from NJ L9725;,1
reclass from geneal. P9356fap;,1
Reclass from PZ3.R5426 Ol;,1
Reclass from Am Rev N5345;,1
Reclass from CS71.C487 1869;,1
reclass from Geneal. B3905d;,1
reclass from NYS On2 C7765;,1
reclass from Am. Rev. P9225;,1
Reclass from Geneal. B4545 v.1;,1
Reclass from Geneal. P6115pfc;,1
Reclass from NYS M766 D1415;,1
Reclass from NYS Un1 L9695;,1
Reclass from PZ3.S315 Lea 1990;,1
reclass from Vit. Rec. NYS Junius;,1
Reclass from Geneal. St2845L;,1
reclass from geneal Ad178f;,1
Reclass from PN6101.H34 1880;,1
Reclass from Arts D4 N9795w;,1
reclass from CS71.A65 1867;,1
Reclass from Geneal B23452b;,1
Reclass from E631.B76 S77;,1
reclass from Am. Rev. St. 713;,1
Reclass from Geneal. St719p;,1
reclass from L.I. G5 1976;,1
reclass from arts p7 v3645;,1
Reclass from Geneal B28422b;,1
Reclass from PZ3 .N337 Chi;,1
Reclass from NYS L49 L4805;,1
Reclass from CS71.C19 1871;,1
reclass from Geneal. Am689m;,1
Reclass from NYS St46 M2275;,1
reclass from NJ EL488 H6753;,1
reclass from CS71.C178;,1
reclass from geneal. H8545h;,1
Reclass from CS71 .W6671917;,1
reclass from black hist M3545;,1
reclass from Am. Rev. H4355;,1
Reclass from Geneal. W6758w;,1
Reclass from Fo. 5465.U54 A27 1945 c.2;,1
reclass from CS71.V129 1975;,1
Reclass from NYS M72 H2705;,1
Reclass from Geneal. St133s;,1
Reclass from NYS C34 M3155;,1
Reclass from NYS C39 Ed785;,1
Reclass from Ref. Z1318.B76 L66 1980;,1
Reclass from Am Rev St725L;,1
Reclass from NYS Sch63 B3925a;,1
Reclass from Geneal. Sp413m Suppl.;,1
Reclass from Geneal. P3535w;,1
reclass from Vit Rec NJ Mendham;,1
reclass from Geneal. An261or;,1
Reclass from Z232.R67 T9;,1
Reclass from NYC D9235;,1
Reclass from PZ3.C355 Ash;,1
Reclass from Geneal. C5484cr;,1
Reclass from CS71.B375 1879;,1
Reclass from Geneal. W6618wid;,1
reclass from PZ3.H198 Wor 1891;,1
Reclass from Geneal. Ad172p on card.;,1
Reclass from L I Ea77 H3585a;,1
Reclass from Geneal. St471sv;,1
reclass from Vit Rec GA Franklin Co.;,1
reclass from CS71.C322 1915;,1
Reclass from CS71.C456 1913;,1
Reclass from NYS H87 B8325b;,1
Reclass from Geneal P9185b 2d ed 1883;,1
Reclass from F129.B7 W45 1897;,1
Reclass from QL430.5 .A7 1908;,1
reclass from US Col. Hist. O2355 17th c. v.2;,1
reclass from TG25.N53 R64p 1872;,1
Reclass from Geneal. P8725pw;,1
reclass from Arts D8 R5425;,1
reclass from CS71 .C443 1894;,1
Reclass from NYS T39 H8145;,1
Reclass from CT275.P8866 H86 1818;,1
reclass from NYS W522 P2195;,1
reclass from NYS Sa32 M1995;,1
Reclass from CD950.S29;,1
Reclass from Upstairs GV873 .H6 1950;,1
Reclass from Geneal. Guides B3335;,1
reclass from Vit Rec CT East Hartford;,1
reclass from Black Hist. Sp665u;,1
reclass from Geneal. P2235pw;,1
Reclass from NJ W6327;,1
Reclass from NYS F53 K6285;,1
Reclass from PZ3 .P174 Dau 1995;,1
Reclass from Fol. Arts P4 T4825;,1
reclass from US Col. Hist. H2515;,1
Reclass from CS71.C519 1922;,1
reclass from NYS P861 P8615;,1
Reclass from CS71.C157 1908;,1
Reclass from NYS P968 W6795;,1
reclass from Geneal. AL775p;,1
reclass from geneal. P3155pf;,1
Reclass from NJ So136h;,1
reclass from R/A M8315;,1
reclass from LI D557c;,1
Reclass from Geneal. P3635pp v.2 no.1;,1
reclass from Arts B5 St395;,1
reclass from NYC H5515;,1
reclass from Geneal. K6282po;,1
Reclass from PZ3 .B934 One;,1
Reclass from Geneal B8138s;,1
reclass from Arts D1 L5385mi;,1
reclass from geneal. Au755m;,1
Reclass from NJ M3443 W4625;,1
Reclass from Geneal. Ind. L6965;,1
reclass from Vit Rec MA Otis;,1
Reclass from Am Rev H3512;,1
reclass from NYS St46 M6155;,1
reclass from black hist W6715;,1
reclass from Folio Arts G5 W8235;,1
reclass from NYS N4207 H8755;,1
Reclass from Geneal. B8144b;,1
Reclass from Vault T7307;,1
reclass from PZ3.B729 Wes;,1
reclass from Vit Rec CT Newtown;,1
reclass from NYC OL35;,1
Reclass from CS71.C6985 1926;,1
Reclass from Ref F129.B7 S26p 1988;,1
reclass from Vit Rec MA Hampden Co.;,1
reclass from geneal p8715pwp;,1
reclass from NYS Al13 R7215;,1
Reclass from Genal Guider Sm615c;,1
reclass from Geneal. Z;,1
Reclass from NYC Ea756;,1
Reclass from Geneal B1335;,1
Reclass from NYS B42 St475;,1
Reclass from CS71.B968 1957;,1
Reclass from Geneal. Coll. St545 v.5;,1
Reclass from Arts A5 G1931;,1
Reclass from NYC OL14 copy 1;,1
Reclass from Geneal. Ind. N4203;,1
Reclass from CS71 .W22 1927;,1
Reclass from Geneal. Sm585r;,1
reclass from PZ3.C438 L;,1
Reclass from NYS R29 An235;,1
Reclass from Geneal. Sh474shf;,1
Reclass from Geneal. P7595jmp;,1
Reclass from Geneal. St565w;,1
Reclass from NJ B9257 W8724;,1
reclass from NYS Ad47 Ts415;,1
Reclass from NJ M4882;,1
Reclass from Geneal. Guides K6355h;,1
Reclass from NYS Sch27 H6295ci;,1
Reclass from Geneal. B386513h vol.1;,1
reclass from Arts D7 P4295;,1
reclass from Geneal. OL355cw;,1
Reclass from CS71.C323 1887;,1
Reclass from Geneal. B8123s;,1
reclass from Vit. Rec. NYS Hampton;,1
reclass from geneal. Ov245a;,1
Reclass from Geneal. St325sn;,1
reclass from NYS J2388;,1
reclass from NJ M7528 St325;,1
Reclass TG15.S8;,1
Reclass from Geneal. St7685h;,1
reclass from AP2 .C658 1845 v.III;,1
reclass from Spec Coll R/A RG16.N58A3 1799;,1
Reclass from LD578.B42 H67;,1
Reclass from Geneal C5575o;,1
Reclass from PZ3.B439 Et;,1
reclass from NJ B8155;,1
reclass from Geneal.G8668g;,1
reclass from geneal. As325a;,1
reclass from geneal Ay745s;,1
Reclass from NYS Y27 A1245;,1
reclass from NYC M7935;,1
Reclass from NYC B7775;,1
reclass from NJ C1277 C1277;,1
Reclass from Geneal. Si564;,1
Reclass from LI L8549 1994;,1
Reclass from PZ3.R158 No;,1
Reclass from L I B76 H3585c;,1
reclass from black hist C8345;,1
Reclass from Geneal. Ind. B6575;,1
reclass from Geneal. W147ob;,1
Reclass from Geneal. P3695h;,1
reclass from L.I. H6655;,1
Reclass from NYS Su81 B8818;,1
Reclass fromGeneal. Ind. St835;,1
Reclass from CS71.S74 1956;,1
reclass from Arts B5 C9365c;,1
reclass from TG153.B3;,1
reclass from NJ G8555 Au265r;,1
reclass from Vit Rec WA King Co.;,1
reclass from NYS M17 W9315;,1
Reclass from Geneal. H1805hf;,1
reclass from Am. Rev. Ee535d;,1
Reclass from FOL NYC G7675;,1
reclass from Geneal. 6415pm;,1
reclass from Vit Rec WI Green Co.;,1
reclass from NYS Os95 B7685;,1
Reclass from Geneal. H1749h;,1
Reclass from NYS M4405;,1
reclass from concerv box c;,1
Reclass from R/A B3915;,1
reclass from geneal. St745js;,1
Reclass from Geneal. P3505p;,1
Reclass from NYC V5595;,1
Reclass from NYS N428 H3445;,1
reclass from R/A C5825;,1
Reclass from NYC F8294;,1
Reclass from Geneal P9185b 1852;,1
reclass from NYS Y80 C4615;,1
Reclass from Geneal. P1825w;,1
Reclass from LI W574m;,1
Reclass from Vault Q435;,1
Reclass from Vit Rec NYS Southold;,1
Reclass from E169.1.M416;,1
Reclass from Black Hist. W8925;,1
Reclass from Am Rev An265;,1
reclass from geneal. At951ae;,1
Reclass from NYS Y27 C5995;,1
Reclass from Vault H1465;,1
reclass from NYS G487 W6935;,1
Census Arkansas 1840;,1
reclass from SI St295r;,1
Reclass from NYC C6932;,1
reclass from NYS Os95 R2455;,1
reclass from Vit Rec CT Old Lyme;,1
Reclass from Folio Vault N4206aa;,1
Reclass from Geneal. Coll. W1445;,1
Reclass from NYC D1375;,1
reclass from Fol. BX8481.B76 A53 1961;,1
Reclass from NJ P8303 B6754;,1
reclass from Arts P4 H5595;,1
reclass from Geneal.J7113j;,1
Reclass form CS.C444 1901;,1
Reclass from PZ3 .D745 Unc;,1
reclass from NJ M7528 Ap524;,1
Reclass from NYC Su715ww;,1
reclass from NYS St71 D5825L;,1
reclass from PZ3.H797 Be;,1
Reclass from Geneal. H1305hc;,1
reclass from Geneal. V's;,1
Reclass from NJ M8346 Sh552sa;,1
Reclass from NYS R39 H9195;,1
reclass from NYS C315 B5205;,1
Reclass from L.I. W51 W2525;,1
Reclass from CS71.C498 1934;,1
reclass from PZ3.H113 Cr;,1
Reclass from Folio Arts C5 D2755 v.2;,1
Reclass from LI M192;,1
reclass from Vit. Rec. NYS Kripple Bush;,1
Reclass from NYS C297 D7195;,1
reclass from NJ M752 EL595;,1
reclass from NYC R7595;,1
reclass from Geneal. B2753c;,1
reclass from NYS N4208 M1325 1937;,1
reclass from geneal. Ox255c;,1
Reclass from LI P3345;,1
reclass from L.I. G5 1902;,1
reclass from Black Hist. D7895 v.1;,1
reclass from Census Georgia 1820 Telfair County;,1
Reclass from LI M54 K4135;,1
reclass from NYS B2335h 1841;,1
reclass from NJ M8346 M9438;,1
reclass from geneal. AL563a;,1
Reclass from PZ3.P957 C;,1
reclass from NYS J2695;,1
reclass from Am. Rev. P9265;,1
Reclass from Am Rev P3375t;,1
reclass from Arts D7 P9315;,1
Reclass from Geneal. P3345pd Appendix;,1
reclass from PZ3.B27 Hou;,1
Reclass from F129.B7 K567;,1
Reclass from Am Rev H5925;,1
Reclass from Geneal. Sh723sf 1950;,1
reclass from PZ3.B27 Ber;,1
Reclass from Vit Rec NYS Saxton;,1
Reclass from Arts D1 P2495;,1
Reclass from GV875.B7 H64;,1
Reclass from Geneal. Sm515wh;,1
reclass from NYS Sp125;,1
reclass from NJ N3695 Sch644;,1
spec coll reclass from spec coll r/a 128.44 f28 1831;,1
Reclass from NYC V6725t;,1
Reclass from geneal. Sh474s;,1
Reclass from Geneal. P6115phc;,1
reclass from geneal AL531wsa;,1
reclass from PZ7.E88 Pic 1988;,1
Reclass from NYS AL13 K6235;,1
Reclass from Geneal. H1405hge;,1
reclass from Geneal. H1405hgw;,1
Reclass from Folio NYS Ad47 H6575;,1
reclass from NJ W2515 C9125;,1
reclass from NYS P71 P7105;,1
Reclass T21.R3;,1
reclass from NYS C83 R6185;,1
reclass from Arts D4 K3995;,1
reclass from bx9211.b7 f73 1893;,1
Reclass from Vault .W5965 Gems 1889;,1
reclass from Arts P4 Sh435;,1
Reclass from NJ G8555 Au262c;,1
reclass from NJ G5184 Si584;,1
reclass from NYS M4295;,1
reclass from Geneal. Guides B6205;,1
reclass from geneal. B1715no73;,1
Reclass from KFX1161 .A6 1850c;,1
reclass from Vit. Rec. CT Redding;,1
Reclass from Upstairs TX715.2 .W3;,1
Reclass from NJ B4536 V3742;,1
reclass from NYS H6755c;,1
reclass from NJ El488 Se235;,1
Reclass from NYC Sch655;,1
Reclass from NYS L29 W4345;,1
Reclass from GV697.A1 .P28;,1
reclass from Queens Ab895;,1
reclass from PZ3.C425 P;,1
reclass from Am. Rev. L5 W7995;,1
Reclass from F129.B7 C15 Index;,1
Reclass from Geneal. B8122brg;,1
Reclass from CS71 .K318 1978;,1
Reclass from Geneal. An127a;,1
reclass from NJ P2733 T7713;,1
Reclass from NYC Sh435;,1
reclass from NJ F8897 M4326;,1
Reclass from Geneal B2331b;,1
reclass from NYS G28 Se965;,1
reclass from Geneal. P5115p;,1
Reclass from NYS C315 C4365;,1
Reclass from Vault An855;,1
reclass from NYS On2 B1475;,1
reclass from NYC Sch 765;,1
Reclass from Geneal. Sh635a;,1
reclass from Geneal. B38075;,1
Reclass from Geneal. St639sc;,1
Reclass from NYC B6394w;,1
Reclass from CS71.C95634 1986;,1
Reclass from CS71.S74 1938;,1
reclass from Geneal. St471sh;,1
Reclass from Geneal. Ow255s;,1
Reclass from CS71.C515 1879 v.2;,1
reclass from NYC L6445;,1
reclass from newbooks box14;,1
Reclass from R/A St625;,1
Reclass from CS71.C462 1924 v.2;,1
Reclass from BX5980.B8 S33 1858;,1
Reclass from Folio Vault W6595;,1
reclass from NJ EL488 C5993;,1
reclass from NJ P9537 M1466s;,1
Reclass from Geneal. Sco839sm;,1
reclass from L.I. N4205bw;,1
Reclass from Fol. PN6101.C53 1892;,1
Reclass Z1236.G82;,1
Reclass from D803.3.H37;,1
Reclass from NYC B5375o;,1
Reclass from NYS T43 St645;,1
reclass from L.I. N18 N4205;,1
Reclass from NYS Es7 W3395;,1
reclass from black hist B7395;,1
Reclass from Geneal C5532v;,1
reclass from Arts D7 W6705;,1
Reclass from L I Sm69 R5955;,1
reclass from PN6101.T55 1895;,1
Reclass from PZ3.S226 El;,1
Reclass from PZ3 .G355 Bla;,1
Reclass from Folio Vault B2855;,1
Reclass from Arts D1 B6335;,1
Reclass from NJ H7575 v.5;,1
Reclass from PN3365 .E94;,1
reclass from PZ3.C355 Car;,1
reclass from NJ R1298 W9794;,1
Reclass from F129.B7 D65 1989;,1
Reclass from Geneal. H1665hwl;,1
reclass from NYS Sa14 C4365;,1
Reclass from NJ R1928 v.2;,1
Reclass from NJ P3694 B3885;,1
reclass from Black Hist. Sl525;,1
reclass from PZ3.S558 Ro;,1
Reclass from Geneal. On255w;,1
reclass from Geneal. B3191b;,1
Reclass from NYS It3 G6335;,1
reclass from L.I. M76 G8855;,1
Reclass from Wills NYC;,1
Reclass from NYC D6645;,1
reclass from bx9211.b7 s43 1901;,1
reclass from Am. Rev. H3515;,1
Reclass from VG77.H65;,1
reclass from NYS R58 R5865pl;,1
reclass from Vit. Rec. NYS Plasterville;,1
Reclass from NYS OL2 B7915;,1
Reclass from CS71.M4696 1984 v.1;,1
Reclass from Geneal. Si585s suppl.;,1
reclass from CS71.H376 1996;,1
reclass from NYC M6625;,1
Reclass from Arts D1 E6375pe;,1
Reclass from NYS Sa72 Ou705;,1
reclass from vit rec nys saratoga co.;,1
Reclass from Exhibition box 1;,1
Reclass from Arts D4 M6919;,1
reclass from geneal. Or852o;,1
Reclass from CT275.V36 D39 1840;,1
reclass from Fol. L.I. Su29 Su215;,1
Reclass from Geneal. W1553f;,1
reclass from NJ R7733 J2665;,1
reclass from LC132.2.B7 C665;,1
reclass from NYS Ea7 Ea775 v.1;,1
Reclass from Ref F129.B7 S26p 1990;,1
reclass from NYC W4305;,1
reclass from Geneal. P2191b;,1
reclass from black hist F2745;,1
reclass from CS71.R993 1994;,1
reclass from Geneal. As825g;,1
Reclass from QA862.G9;,1
Reclass Z6620.U5 H6;,1
Reclass from CS71.M4696 1971;,1
Reclass from BX7790.P5 1914 v.5;,1
reclass from Arts D7 H3355c;,1
Reclass from CS71.C793 1983a;,1
reclass from NYS R89 R8905;,1
reclass from Geneal.G1685gc;,1
reclass from closed stacks N620.B6A78 C3 1910;,1
Reclass from CS71.B48 1882;,1
Reclass from DA869.S56;,1
Reclass from Vault R6465;,1
Reclass from Geneal. P5465f;,1
reclass from Geneal. Sk334sk;,1
Reclass from PZ3.R677 L;,1
reclass from Geneal. An233w;,1
Reclass from Arts A4 G7477;,1
reclass from Geneal. P5415f;,1
reclass from Fol. PN6101.L69 1929;,1
reclass from CS71.C456 1887;,1
Reclass from Geneal B1355bac;,1
Reclass from NYS M766 C4365;,1
reclass from NJ Es753 L5882 vol.2;,1
reclass from ARTS B5 T8815;,1
Reclass from NYS T75 W8795;,1
reclass from PZ3.B7975 Nar;,1
Reclass from Geneal. P4195L;,1
Reclass from NYS F30 F305bc;,1
Reclass from NYS P18 Ea845;,1
Reclass from PZ3.V288 Sto 1896;,1
reclass from Arts D5 Ea755c;,1
reclass from NYS N514 J6315;,1
Reclass from Geneal. P3535bm;,1
Reclass from NYS M864 H9915;,1
Reclass from NYC At545;,1
Reclass from Arts D3 L7255;,1
Reclass from Am Rev L8995s;,1
reclass from Geneal. B8199r;,1
reclass from geneal. An877w;,1
reclass from BV631.K57 1848;,1
Reclass from Am Rev F9815;,1
reclass from Vit. Rec. NYS Meredith;,1
Reclass from Geneal Sm955L;,1
reclass from Geneal. P5115pa;,1
Reclass from NYS P34 P2775;,1
reclass from NJ T7243 St9404;,1
Reclass from Exhibition box 1 R/A M3155;,1
reclass from Am. Rev. W1545;,1
Reclass from Geneal. W1343w;,1
Reclass from Geneal. St284s;,1
Reclass from NYS C39 Y845;,1
Reclass from LI L5855;,1
reclass from geneal. P8725bp;,1
Reclass from NYS W565 R7165;,1
reclass from Geneal. Ot475o;,1
reclass from NYC H5445;,1
Reclass from Vault H3965;,1
reclass from Geneal. W1525wrb;,1
reclass from geneal. SL535sc v.1;,1
Reclass from PZ3 .N794 Sat;,1
reclass from geneal. P7625u;,1
reclass from PZ3.T274 Jes;,1
Reclass from NJ L5116g v.1;,1
Reclass from Vault G1385co;,1
Reclass from Geneal. P8335mm;,1
reclass from Geneal.J7245j;,1
Reclass from NYS Au19 H3165 1876;,1
reclass from L.I. L4365;,1
Reclass from Ref. F129.B7 N58p 1973c;,1
Reclass from Geneal. SL195s;,1
Reclass from NJ W6206;,1
reclass from PZ3.J427 Gy;,1
reclass from NYS M7575 B7915;,1
Reclass from HA201 1900 .B1;,1
reclass from geneal. Ot475owa;,1
Reclass from CS71.P625 1881;,1
Reclass from Z2451.C7 N54;,1
Reclass from CS71.C387 1903;,1
reclass from Vit. Rec. CT Willington;,1
reclass from Fol. Am. Rev. Sm655bm;,1
reclass from Am. Rev. M6135;,1
Reclass from Am Rev W1195;,1
reclass from Arts D7 H7895;,1
reclass from Vault L5105;,1
reclass from geneal. P2845ph;,1
reclass from cd3043 .g853 1995;,1
Reclass from NJ Se2504i;,1
Reclass from Vault B4395;,1
