,4
reclass from Vit Rec NYS Sullivan Co.;,3
reclass from NJ Un3005 H7575;,3
reclass from Vit Rec MA;,3
reclass from E263.G3 C35;,3
reclass from Am. Rev. W2535;,3
reclass from Vital Records NYS Wiccopee.;,3
reclass from Black Hist. W6935;,3
reclass L.I. G5 1895;,3
reclass from BX7148.U54 H57 1823;,3
reclass from Queens R5485pn;,3
Reclass from Stacks;,3
reclass from L.I. H92 R5485;,3
Reclass from Geneal. V;,3
reclass from NJ M7528 L5865m;,3
reclass from Vit. Rec. NYS New Woodstock;,3
reclass from NYS M1195 vol.1;,3
reclass from Vit Rec VA Accomack Co.;,3
reclass from Vit Rec CT Fairfield;,3
reclass from Vit Rec NYS Tompkins Co.;,3
reclass from CS890.S25;,3
reclass from Wills NYC;,3
Reclass from Black History;,3
Reclass Z7164.P97.H68;,2
Reclass from PN6101 .B78 1895;,2
Reclass from Geneal. Sn615s;,2
reclass from L.I. H92 T6605;,2
reclass from Vit Rec NYS Tompkins;,2
reclass from NYS N4207 B9185;,2
reclass from BV1516.B76 M38 1888;,2
Reclass from Geneal. P2935sc;,2
reclass from CT275.S6575 A3;,2
reclass from BX5980.B7 H6 1922;,2
Reclass from Geneal. B2856b;,2
Reclass from NYC C7715;,2
reclass from NJ Su8203 Sn2703i;,2
reclass from f129.c75 s66 1984;,2
reclass from Vit. Rec. NYS Macedon;,2
reclass from Fol. E178.T965;,2
Reclass from Geneal. Si478sf;,2
reclass from NYS W522 Sch17;,2
Reclass from NJ St494 vol.11;,2
reclass from Vault M6665;,2
reclass from Vit Rec NYS Staten Island;,2
Reclass from Vit Rec NYS S.I.;,2
reclass from E29.H9 B16;,2
Reclass from ND1351.5.C85p 1977;,2
reclass from Vault L7305;,2
reclass from PZ3.W596 Lea 1968;,2
Reclass from L I Ea77 R1895;,2
reclass from Am. Rev. M7825;,2
Reclass from Vit Rec NYS Herkimer;,2
reclass from Vit Rec NYS Accord;,2
reclass from Fol. Arts D4 Si645f;,2
reclass from vit rec nys staten island;,2
reclass from E359.5 N6 G89;,2
reclass from Vit Rec NYS Bloomingburgh;,2
reclass from CS483.O5 1915a;,2
reclass from PZ7.E88 PicH 1989;,2
Reclass from Geneal. Coll. Se835a v.3;,2
reclass from Geneal. Coll.;,2
reclass from Arts B5 Au275a;,2
reclass from Vit. Rec. NJ Passaic;,2
Reclass from L.I. D9515 c. 1;,2
reclass from Vit Rec CT New Haven Co.;,2
reclass from DC111.B265;,2
reclass from Vit. Rec. NYS Ludington;,2
reclass from Geneal. D's;,2
reclass from heredsoc;,2
reclass from REF;,2
Reclass from CS71 .S324 1876;,2
Reclass from Ref. F129.B7 N58p 1969;,2
reclass from CS71.V278 1982;,2
reclass from Arts B5 C6765s;,2
reclass from Vit Rec NYS Modena;,2
reclass from Arts A1 H2555;,2
Reclass from Geneal. St2845s;,2
Reclass from BX6495.B7 M3 1923;,2
Reclass from Geneal. Ind. In855 2d ed.;,2
