,j
PAMP Soule-1,1
1985.009,1
B P-1901(1918).Fl.Folio,1
B A-2001.Fl,1
US-1801.A,1
ARC.071,1
PAMP ClayCC-1,1
PAMP Sumner-12,1
1974.063,1
Bergen-1854.Fl,1
M-1808.Fl,1
"USGS-1:62,500 (Oyster Bay).Fl",1
ARC.294,1
1974.053,1
E449.S813 2004,1
NYC-1958.Fl,1
NJ-17th-19th century(1957).Fl,1
B P-1894a.Fl,1
"D.P.W.-1:24,000 (Sea Cliff Quad).R",1
B A-[19--?]j,1
1973.301,1
ARC.061,1
1977.361,1
1977.563,1
1988.059,1
L.I.-1900.Fl,1
N.E.-1778 (1969).Fl,1
B A-1890a.Fl,1
PAMP Great-1,1
PAMP NLMA-1,1
Bergen-1877.Fl,1
PAMP CoxSH-1,1
ARC.224,1
2016.014,1
L.I.-1675 (1949).Fl,1
NYC-[1974].Fl,1
PAMP Nott-1,1
PAMP Morris-1,1
1977.404,1
PAMP Kelley-1,1
2002.009,1
PAMP Birney-1,1
ARC.066,1
B A-[1873].Fl,1
CBBG HQ777.9 .N37 1995,1
B P-[189-?].Fl,1
NYS-1856a.Fl,1
B A-1869c.Fl,1
B C-[1976].Fl,1
M-1775.Fl.RA,1
PAMP Appeal-1,1
PAMP Goodell-1,1
PAMP Bowditch-1,1
(70) M-1955.A,1
Q-[18--?]a.Fl.O,1
PAMP StantonRL-1,1
L.I.-[1873]t.Fl,1
IPOF BR563.N4 W49 1993,1
PAMP Gannett-1,1
NYC-2012.Flx,1
Bergen-[185-?]l.Fl,1
V1974.010,1
U.S.C.S.-367.Fl,1
BR-1920.Fl,1
B A-1871.Fl,1
ARC.054,1
ARC.077,1
1979.006,1
PAMP CSA-2,1
IPOF E449.A6237,1
B P-[17--?] (18--?)a.Fl,1
M-1728 (18--?).Fl,1
1978.032,1
Rev. War-[1776] (1975).Fl,1
1991.027,1
PAMP ChaseSP-1,1
PAMP ThayerMR-1,1
ARC.082,1
PAMP Bunsen-1,1
ARC.072,1
"USGS-1:24,000 (Coney Island).Fl",1
ARC.128,1
B A-1869 (19--?).Fl,1
1977.662,1
B C-2002.Fl.O,1
1973.194,1
PAMP CCMM-1 c.2,1
NYS-1829(1847).Fl,1
1986.014,1
PAMP Hatfield-1,1
V1981.287,1
PAMP HamiltonAJ-1,1
Bergen-1853a.Fl,1
B P-1870 (1943)a.Fl,1
B P-1870c.Fl,1
B P-[184-?]c.Fl,1
1977.107,1
2016.019,1
B A-1950.Fl,1
ARC.073,1
PAMP LelandCG-1,1
NYC-[1862?].Fl.F,1
B A-1971q.Fl,1
N.J. 1878.A.RA,1
B P-[1870]a.Fl c.2,1
IPOF E444.S57,1
Bergen-1853-1854.Fl,1
1977.574,1
Lefferts PS2025.L15,1
B P-[1842]a.Fl,1
B A-[1889].Folded,1
ARC.035,1
ARC.015,1
NYC-1845.Fl,1
ARC.058,1
1994.002,1
PAMP ParkerT-5,1
ARC.046,1
1977.275,1
PAMP LordJC-1,1
Rev. War-1776 (1964).Fl,1
1977.389,1
B P-[1836?]a.Fl,1
"D.P.W.-1:24,000 (Port Jefferson Quad).R",1
PAMP SpragueW-1,1
Q-[1873]j.Fl,1
PAMP Sumner-26,1
PAMP CAS-1,1
1973.163,1
1985.036,1
1978.143,1
E-US-1911.Fl,1
L.I.-1861.Fl,1
1973.190,1
PAMP StorrsRS-1,1
1977.358,1
NYS-1846.Folded,1
IPOF E457.2.L816 2009,1
ARC.173,1
IPOF F548.9.N4 B55 2005,1
2009.002,1
M-2010.Fl,1
1990.012,1
M-1664 (1859?).Fl c.3,1
"USGS-1:24,000 (Brooklyn)1967.Fl",1
PAMP President-1,1
"D.P.W.-1:24,000 (Freeport Quad).R",1
L.I.-1905a.Fd.RA,1
1974.117,1
B P-1895a.Fl,1
Rev. War-1776 (1865).Fl,1
Bergen-1859a.Fl,1
Bergen-[1892?]e.Fl,1
B P-[1850]b.Fl,1
1974.244,1
"D.P.W.-1:24,000 (Huntington Quad).R",1
B A-1971m.Fl,1
B A-1965.Fl,1
V1990.066,1
1973.298,1
L.I.-1957.Fl,1
PAMP Hoit-1,1
CBBG HQ1031 .C485 2005,1
PAMP USSC-1,1
ARC.076,1
2000.045,1
1974.114,1
PAMP Goodloe-1,1
1973.095,1
1988.004,1
M-1852.Fl,1
1977.665,1
PAMP Populus-1,1
B P-[1854?].Fl,1
PAMP ClarkeCE-1,1
B C-1974.Fl,1
IPOF BR563.N4 T38 1994,1
1977.570,1
1978.043,1
Pierrepont-1859a.Fl,1
ARC.032,1
B A-[18--?].Fl,1
1977.168,1
Bergen-1876b.Fl,1
B P-[1835]a.A.RA c.3,1
1985.055,1
L.I.-1907.Fd,1
Bergen-[1839?].O,1
IPOF F128.9.N4 S55 2005,1
B P-1892b.Fl,1
B A-1971b.Fl,1
1973.107,1
Bergen-[18--?]gg.Fl,1
1974.115,1
ARC.042,1
1977.259,1
B A-1834 (19--?).Fl,1
ARC.251,1
Bergen-[18--?]p.Fl,1
PAMP StilesJC-1,1
PAMP ASCFPC-14,1
Q-[1835].Fl,1
NYC-1829b.Fl,1
Lefferts PS3527.I35 M346 1903,1
B P-[1851]c.Fl,1
(115) L.I.-1950.A,1
NYC-1939a.Fl,1
PAMP Border-1,1
NYC-2009b.Fl,1
NYC-1995a.Fl.Folio,1
PAMP HowHK-1,1
1977.575,1
PAMP SpearST-8,1
1977.282,1
World-1874.A.RA,1
(80) L.I.-1914.A,1
ARC.196,1
B P-[1849]e.Fl,1
Bergen-[1892?].Fl,1
PAMP MillerJW-1,1
V1991.051,1
1992.026,1
NYC-2000.Fl,1
PAMP Benton-1,1
B R-2011.Fl,1
PAMP Campbell-1,1
PAMP Brewer-1,1
B A-[1914?].Fl,1
PAMP Sinclair-1,1
2013.022,1
PAMP Letter-2,1
V1988.012,1
L.I.-[186-?].Fl,1
1992.023,1
PAMP Higginson-1,1
1973.294,1
NYS-1841.Fl,1
ARC.084,1
ARC.088,1
Q-1923.Fl.O,1
1979.023,1
PAMP JonesGW-1,1
NYC-1859.Fl,1
PAMP Fairbanks-1,1
PAMP CITK-1,1
1978.171,1
PAMP Capen-1,1
L.I.-1950.Fl,1
N.J. [1890].Fl,1
NYC-[1842?].Fl,1
Q-1907.Fl.Folio,1
Pierrepont-[18--?]g.Fl,1
Pierrepont-[18--?]b.Fl,1
PAMP MortonOP-1,1
V1981.010,1
PAMP Dwight-1,1
1977.018,1
B P-[1896].Fl.Folio,1
NYC-[1838?].Fl,1
Bergen-[18--?]q.Fl,1
PAMP Boyle-1,1
1994.010,1
M-[1931?].Fl,1
NYC-1851a.Folded,1
PAMP Voices-1,1
1977.095,1
ARC.142,1
PAMP ClayH-2,1
B A-1766-1767 (185-?).Fl,1
PAMP Fish-2,1
ARC.011,1
PAMP Kemble-1,1
1991.009,1
PAMP Colton-1,1
NYS-1806(1848).Fl,1
PAMP Brown-2,1
B C-1891.Fl,1
NYC-[185-?].Fl,1
PAMP SullivanLB-1,1
(106) US-1760-1790 (1976).A,1
1985.111,1
1973.309,1
1977.571,1
B A-[1886?].Fl,1
PAMP ThomsonJR-1,1
V1990.052,1
PAMP PughGE-1,1
Bergen-1890f.Fl,1
1973.129,1
IPOF E449.T18 W9,1
2013.002,1
1985.074,1
PAMP Bartley-1,1
M-1842.Folded.RA,1
1978.013,1
1990.002,1
V1988.054,1
(90) L.I.-1925.A.F v.3-4,1
Bergen-1867.Fl,1
(64a) B P-[1853]a.Fl,1
Q-1910.Fl,1
B P-1886.Fl.O,1
Bergen-[188-?].Fl,1
V1974.035,1
"D.P.W.-1:24,000 (Northport Quad).R",1
"DOT-1:9,600 (Bayville-south).Fl.Folio",1
NYC-1776 (18--?).Fl,1
1973.217,1
PAMP CDAS-2,1
1974.119,1
B A-[1904?].Fl,1
L.I.-1961.Fl,1
NYS-[19--?].Fd,1
1985.102,1
PAMP Carruthers-1,1
Bergen-1873a.Fl,1
2015.011,1
PAMP Spencer-1,1
PAMP SpearST-3,1
ARC.010,1
V1990.040,1
1977.429,1
PAMP ThompsonJP-2,1
1977.559,1
1977.019,1
1977.363,1
ARC.153,1
1991.041,1
1973.167,1
ARC.100,1
1977.485,1
PAMP Schurz-1,1
NYS-1836.Folded,1
V1982.001,1
(109) Rev. War-1775-1783 (1972).A c.2,1
1978.036,1
B R-2010.Fl,1
L.I.-[1794?].Fl.RA,1
B A-[2009?]a.Fl c.2,1
PAMP CSA-4,1
PAMP BRFAL-6,1
Lefferts PR4699.F1756 A45,1
1977.503,1
1987.050,1
B C-1887.Fl,1
1977.622,1
PAMP AASS-3,1
(78) NYC-1939 (1936).A,1
1985.017,1
PAMP BrownWW-1 c.2,1
B A-1988.Fl,1
1977.610,1
Bergen-1877b.Fl,1
1977.314,1
B PP-1972.Fl,1
V1991.115,1
1977.672,1
1977.071,1
Q-[1873]a.Fl,1
L.I.-1854.Fl,1
B A-1893.A,1
1977.366,1
2009.011,1
PAMP ThomasBF-2,1
L.I.-1894.Fl,1
B P-[1836?].Fl,1
NYS-1929.Fl,1
PAMP DeanHC-1,1
M-1683 (18--?).Fl,1
1977.627,1
PAMP WheelerJ-1,1
1985.099,1
"D.P.W.-1:24,000 (Gardiners Island West Quad).R",1
PAMP QuincyJ-2,1
ARC.037,1
1977.155,1
PAMP Comment-1,1
1991.033,1
NYC-[1907?].Fl,1
PAMP ChaseSP-3,1
B P-1988.FL.Folio,1
PAMP Cutler-1,1
Lefferts PR9199.2.P37 J83 1913,1
1977.005,1
E-US-1776a.Fl.RA,1
2008.007,1
PAMP Goodrich-1,1
PAMP CDAS-3,1
PAMP ARINLCG-1,1
PAMP AmCS-9,1
PAMP Clopper-1,1
NYS-1656 (18--?).Fl,1
L.I.-1852.Folded,1
M-1660 (1933).Fl c.2,1
PAMP Cousin-1,1
2008.005,1
PAMP Maynard-1,1
NYC-2006.Fl,1
ARC.278,1
B A-[185-?]a.Fl,1
(68) B P-[1851?].A,1
NYC-[1812].Fl,1
B P-[1894?].Fl,1
PAMP StephensAH-6,1
PAMP Krebs-1,1
1981.010,1
1977.158,1
(87) L.I.-1931.A,1
NYC-[1925?].Fl,1
2008.042,1
2015.036,1
Pierrepont-1825.Fl,1
PAMP HallN-2,1
V1989.015,1
V1992.016,1
PAMP MooreGH-1,1
PAMP AmCS-16,1
PAMP Hodge-1,1
ARC.108,1
ARC.059,1
L.I.-[1858].Fl,1
Pierrepont-[18--?]f.Fl,1
L.I.-[189-?].Fl,1
Bergen-1876d.Fl,1
Bergen-1876-1881.Fl,1
1977.535,1
NYC-2004a.Fl,1
Bergen-[185-?]h.Fl,1
1977.581,1
PAMP Laboulaye-2,1
B A-1864.Fl c.2,1
Bergen-1893.Fl,1
1978.050,1
(110) World-1969.A,1
1977.664,1
1978.025,1
B P-[1844].Fl,1
IPOF E441.H73 2006,1
1977.394,1
B P-[187-?]b.Fl,1
2000.007,1
L.I.-1600-1850 (1974).Fl,1
B A-1834.Fl,1
1977.243,1
1977.359,1
Bergen-1889d.Fl,1
B PP-1861a.Fl,1
US-1818.Fd,1
B A-1879a.Fl c.2,1
PAMP Soule-2,1
B A-[2002?].Fl c.2,1
B P-[1869]g.Fl,1
B A-1827a.Fl,1
PAMP HallN-1,1
NYC-[1920?]a.Fl,1
B A-1898.Fl,1
NYS-[1830].Folded,1
Bergen-[185-?]a.Fl,1
B A-1868b.Fl,1
NYC-2011a.Fl,1
2008.021,1
IPOF E468.9.B57 2002,1
PAMP American-4,1
2017.007,1
B C-1885a.Fl,1
1977.438,1
2015.019,1
V1988.052,1
B A-1962d.Fl,1
PAMP Jarvis-1,1
PAMP PattonW-1,1
ARC.067,1
1980.030,1
1977.430,1
1977.150,1
B P-[1849?].Fl,1
1985.041,1
B A-[2002?]a.Fl,1
V1986.035,1
B A-1827.Fl,1
B A-1861a.Fl,1
B P-[187-?].Fl,1
L.I.-[18--?].Fl,1
ARC.134,1
U.S.C.S.-1851 (1976).Fl,1
PAMP Glover-1,1
B A-1889.Fl,1
PAMP Gardiner-1,1
2005.031,1
B P-[184-?]c.Fl c.3,1
PAMP Coker-1,1
PAMP Akers-1,1
B P-[183-?].Fl.Folio,1
PAMP Boston-2,1
V1974.044,1
B P-1911a.R,1
PAMP GarrisonWL-1,1
PAMP McKaye-1,1
ARC.256,1
PAMP RMCS-1,1
L.I.-[1918?].Fl,1
B P-1886.Fl,1
PAMP Atkins-1,1
L.I.-1878.Fd.RA,1
Q-1854.Fl,1
B PP-[186-?]a.Fl,1
PAMP RossFA-1,1
ARC.230,1
ARC.051,1
PAMP PerkinsGW-1,1
1978.061,1
"D.P.W.-1:24,000 (Mattituck Hills Quad).R",1
B P-1870 (1944).Fl,1
PAMP Grew-1,1
1974.241,1
L.I.-1884b.Fl,1
PAMP DodgeAC-1,1
V1987.001,1
1977.392,1
B P-1808.Fl.Folio,1
B A-[1853].Fl,1
2007.029,1
1974.137,1
1981.015,1
ARC.118,1
1977.586,1
PAMP DePeyster-1,1
B A-[19--?].Fl.Folio,1
1978.070,1
(107) World-1947.A,1
PAMP WilliamsP-1,1
1977.644,1
1990.005,1
Bergen-[18--?]h.Fl,1
PAMP Right-1,1
NYC-[1873].Fl,1
B C-1921.Fl,1
B P-1859.Fl,1
1977.249,1
B A-[1911?]b.Fl,1
Bergen-[1865-1881].Fl,1
ARC.247,1
B P-[1847]b.F c.2,1
PAMP Frothingham-1,1
Q-[1873]f.Fl,1
Q-1921a.Fl,1
IPOF F198.W44 P75 2010,1
ARC.089,1
M-1660 (1963).Fl,1
B A-[1909].Fl,1
1977.640,1
1985.065,1
Q-1914.Fl,1
B P-1835a.Fl,1
PAMP StephenJ-1,1
2006.015,1
PAMP Ellison-1,1
PAMP Hamlin-1,1
V1989.003,1
B C-1950.Fl,1
PAMP Haygood-1,1
B P-1870 (1943).Fl,1
B P-1848c.Fl,1
N. Amer.-1700s (1974).Fl,1
B P-1922.Fl,1
CBBG KF511 .K46 2004,1
NYC-1848a.Folded,1
Rev. War-[1776] (18--?).Fl c.2,1
PAMP ARINLCG-3,1
1977.124,1
B P-[1896].Fl,1
1977.269,1
1986.054,1
Bergen-1867-1891.Fl,1
PAMP BRFAL-2,1
B P-[1834]b.Fl,1
1973.184,1
Bergen-[18--?]w.Fl,1
L.I.-1905b.Fl,1
L.I.-[18--?]g.Fl,1
L.I.-1906.A.RA,1
PAMP MAS-5,1
L.I.-[1873]h.Fl,1
PAMP Channing-2,1
1992.007,1
PAMP EllisCM-1,1
PAMP BRFAL-5,1
PAMP Drake-3,1
2015.033,1
B P-1852a.Fl.Folio,1
B A-1895.Fl,1
V1974.025,1
PAMP Thome-1,1
NYS-1915.Fl,1
1973.179,1
1986.019,1
PAMP GACCM-1,1
B C-1964.Fl,1
B P-[1886?].Fl,1
1978.128,1
PAMP Schurz-2,1
"USGS-1:62,500 (Hempstead).Fl",1
NYS-[1814].Fl,1
1973.100,1
Bergen-[18--?]aa.Fl,1
Pierrepont-[18--?].Fl,1
Bergen-1870a.Fl,1
1986.020,1
ARC.296,1
B A-2003.Fl,1
B A-[2009?]a.Fl,1
B A-1797.Fl.RA,1
1979.005,1
B P-[1864]b.Fl,1
1985.090,1
PAMP BrooksE-2,1
B A-1854a.Fl,1
ARC.200,1
PAMP Cheever-2,1
PAMP American-2,1
Luquer-1889.Fl,1
2015.003,1
PAMP SewardWH-7,1
B P-[1855].Fl,1
Bergen-1861.Fl,1
1990.022,1
1977.325,1
PAMP SmithT-1,1
2014.024,1
V1990.021,1
PAMP May-1,1
V1986.017,1
PAMP Branch-1,1
B P-1894b.Fl,1
(92) NYS-1867.A,1
NYC-1852.Folded,1
Bergen-[189-?]g.Fl,1
B A-1879d.Fl,1
B A-1861.Fl,1
PAMP Hicks-1,1
PAMP AmCS-4,1
NYC-1963.Fl.O,1
ARC.281,1
PAMP Bingham-1,1
2011.024,1
1981.001,1
"D.P.W.-1:24,000 (Pattersquash Island Quad).R",1
ARC.259,1
1977.015,1
V1989.014,1
W. Hemis.-[1825].Fl,1
1977.382,1
1977.592,1
B P-[1853]a.Fl.Folio,1
(64e) N. Amer.-1940-1959.A,1
B C-1986.Fl.Folio,1
ARC.036,1
1985.018,1
B A-[1998?].Fl,1
PAMP Memorial-1,1
L.I.-1882.Fl.O,1
B P-1889.Fl,1
PAMP SAS-3,1
1994.006,1
PAMP ASCFPC-12,1
1985.060,1
1990.025,1
M-1826.Fl,1
CBBG HQ536 .R658 2009,1
NYS-1947.Fl,1
NYC-1933.Fl.O,1
B P-1877a.Fl.Folio,1
1977.642,1
PAMP Bristed-2,1
NYC-1639 (19--?).Fl,1
B P-1870 (1943)a.Fl c.2,1
G1254.N4,1
V1991.008,1
B P-[17--?] (1864).Fl c.3,1
2013.004,1
E-US-[1684].Fl.RA,1
Bergen-[1862].Fl,1
1980.012,1
1986.041,1
NYS-1767 (18--?).Fl,1
PAMP Constitution-1,1
2011.002,1
1978.123,1
PAMP Bullock-1,1
Bergen-[1889?]b.Fl,1
1973.302,1
1985.059,1
1973.090,1
B P-[1863]e.Fl,1
PAMP Freedmen-1,1
PAMP HopkinsJH-1,1
PAMP Nordhoff-3,1
2001.040,1
PAMP JayW-1,1
PAMP ATS-1,1
PAMP Holt-1,1
PAMP DEC-1,1
1981.008,1
ARC.225,1
1985.054,1
B A-[1937?].Fl,1
PAMP HodgeC-2,1
PAMP HowardOO-1,1
PAMP Upshur-1,1
Nautical chart-12363.Fl.Folio,1
1991.016,1
N. Amer.-1632 (1850).Fl,1
ARC.169,1
B A-[189-?]b.Fl,1
ARC.302,1
1974.102,1
1978.060,1
M-1846.Fl,1
(83) Q-1913-1919.A v.1,1
V1997.090,1
PAMP Black-1,1
PAMP CampbellLD-2,1
V1986.242,1
B P-1825.Fl.Folio,1
ARC.183,1
Bergen-[18--?]hh.Fl,1
PAMP Charleston-1,1
PAMP BluntJ-1,1
(113) Civ. War-1891-1895.A,1
PAMP StilesJC-2,1
(75.5) NYC-1945a.A,1
PAMP Benjamin-3,1
1978.089,1
NYC-1766-1767 (1854). Fl c.2,1
1978.184,1
1977.582,1
Lefferts G480.S55 1847,1
2007.056,1
B P-[18--?].Fl.O,1
1978.037,1
Q-[1873]l.Fl,1
1985.108,1
IPOF E185.86.G644 1999,1
1978.094,1
1978.027,1
1977.104,1
B A-[1902].Fl,1
NYC-1916.Fl.Folio,1
PAMP MooreGH-3,1
Bergen-[1886].Fl,1
1978.033,1
1977.245,1
"D.P.W.-1:24,000 (Shinnecock Inlet Quad).R",1
1977.669,1
"D.P.W.-1:24,000 (Plum Island Quad).R",1
M-1833.Fl,1
PAMP Bolles-1,1
1979.001,1
B A-1896.Fl,1
PAMP Northup-1,1
Bergen-[185-?]i.Fl,1
1977.232,1
B A-1868a.Fl,1
PAMP Constitution-2,1
NYC-1978.Fl.O,1
Rev. War-[1776?]b.Fl.RA,1
1974.237,1
1987.007,1
1978.187,1
N. Amer.-1700s (1975).Fl,1
2010.020,1
PAMP CIFPC-1,1
L.I.-[184-?]a.Fl,1
Luquer-1848 (19--?).Fl,1
B P-[1846].Fl,1
NYC-2008a.Fl,1
PAMP Calhoun-1,1
1978.086,1
L.I.-[1873]d.Fl,1
PAMP Lovejoy-2,1
1977.595,1
Q-1841.Fl,1
B PP-1909.Fl,1
B P-1848b.Fl,1
PAMP JayJ-1,1
1986.015,1
B A-[195-?]d.Fl c.2,1
B P-[1897?]e.Fl,1
V1991.073,1
Bergen-1852b.Fl,1
1973.215,1
PAMP GreenFH-2,1
1986.052,1
PAMP Doolittle-1,1
Bergen-[18--?]z.Fl,1
B C-1986a.Fl.O,1
B A-1835.Fl,1
1994.016,1
1991.014,1
1978.151,1
"D.P.W.-1:24,000 (Quogue Quad).R",1
ARC.024,1
PAMP Sumner-17,1
PAMP DPNY-3,1
B P-[1845].Fl,1
PAMP Atkinson-1,1
(107.5)a N. Amer.-1717(1942).A,1
1991.034,1
2009.004,1
NYS-1968.Fl,1
PAMP Brooke-1,1
PAMP Child-3 1836,1
1978.136,1
1977.486,1
NYS-[1848].Fl,1
1973.137,1
B C-1903.Fl.Folio,1
2000.006,1
U.S.C.S.-366(1879).Fl,1
B A-1834a.Fl,1
B A-1914.Fd.RA,1
L.I.-[1869].Fl,1
1991.008,1
ARC.106,1
B P-[1852]b.Fl,1
1977.548,1
PAMP DexterHM-1,1
1977.116,1
ARC.279,1
1977.447,1
NYS-2004.Fl,1
PAMP SpragueH-1,1
V1991.118,1
1977.345,1
V1974.030,1
NYC-1959(2000?).Fl,1
B P-[18--?]i.Fl,1
Q-[1853?].Fl,1
V1980.001,1
ARC.260,1
1974.022,1
L.I.-[1873]j.Fl,1
IPOF E184.G3 H64 2011,1
PAMP Drake-8,1
NYC-1779 (1968).Fl,1
PAMP ChaseH-1,1
S.I.-1874.A.RA,1
V1986.057,1
1977.120,1
PAMP ParkerJ-1,1
ARC.027,1
NYC-1937.A,1
CBBG HQ1031 .I8 2000,1
PAMP Slavery-2,1
PAMP StearnsWA-2,1
PAMP ARINLCG-2,1
Bergen-1866a.Fl,1
1979.011,1
ARC.115,1
Bergen-1868b.Fl,1
1986.013,1
1974.239,1
B P-1866.Fl,1
Bergen-[18--?]b.Fl,1
V1991.076,1
ARC.085,1
B A-[1940?].Fl c.2,1
PAMP RaymondHJ-4,1
ARC.214,1
1973.165,1
Bergen-1850.Fl,1
PAMP Appleton-2,1
1989.005,1
1973.170,1
PAMP OSCASC-1,1
B A-1893.Fl,1
PAMP AFUC-1,1
B P-[1833]b.Fl,1
1977.583,1
B P-1892a.Fl,1
PAMP Boston-1,1
PAMP ParkerJ-2,1
1994.019,1
1977.013,1
PAMP Cheever-1,1
ARC.060,1
1987.017,1
B P-[1849]c.Fl,1
Bergen-[18--?]o.Fl,1
B A-[1915?].Fl,1
PAMP FranklinJR-1,1
B C-1986d.Fl.O,1
NYC-2011b.Fl,1
NYC-[185-?]a.Fl,1
B A-1859c.Fl,1
1978.042,1
E-US-[1783?].Fl.RA,1
1987.008,1
1990.008,1
PAMP Motley-3,1
PAMP Ewbank-1,1
PAMP AmCS-2,1
Bergen-1877e.Fl,1
B A-1971.Fl.Folio,1
PAMP Lothian-1,1
ARC.189,1
1974.198,1
Bergen-1852.Fl,1
B PP-1871.Fl,1
PAMP AFAS-5,1
PAMP Opinion-1,1
PAMP CITK-2,1
1977.205,1
CT-1886.Fd.RA,1
PAMP SAS-2,1
Bergen-[1849?].Fl,1
1977.241,1
NYC-1978a.Fl,1
ARC.152,1
PAMP PotterE-1,1
V1987.012,1
NYS-1801 (1847).Fl,1
B P-1806.Fl,1
B P-[1851].Fl,1
NYS-1830.Folded,1
B P-[1869]a.Fl,1
1977.474,1
2000.003,1
PAMP ASCFPC-8,1
1995.004,1
Nautical chart-12354.Fl.Folio,1
B P-[1870]a.Fl c.4,1
1992.005,1
PAMP Bickell-1,1
PAMP Burlingame-1,1
1977.426,1
2000.008,1
PAMP StephensAH-5,1
PAMP Crowell-1,1
Lefferts PS3523.I46 C35 1911,1
V1974.014,1
PAMP Ashley-2,1
PAMP ConwayMD-2,1
B P-[1851]b.Fl,1
PAMP BrooksP-1,1
1977.637,1
PAMP Bailey-1,1
PAMP Drake-2,1
PAMP Meade-1,1
ARC.229,1
ARC.080,1
1986.023,1
PAMP ParkerT-4,1
PAMP HodgeC-1,1
PAMP Duffield-3,1
B A-[2009?].Fl,1
1977.043,1
PAMP Holcombe-2,1
PAMP WhiteS-1,1
B A-1869d.Fl,1
Bergen-1866.Fl,1
1977.646,1
PAMP Giddings-2,1
1973.272,1
B A-1971d.Fl,1
PAMP Carolinian-1,1
1992.033,1
Rev. War-1776 (18--?)a.Fl,1
PAMP Barclay-1,1
PAMP Child-3,1
PAMP Juge-1,1
NYS-1905.Fl,1
L.I.-[18--?]c.Fl,1
World-1839.A.RA,1
"USGS-1:62,500 (Greenwood Lake).Fl",1
1977.572,1
NYC-1665 (18--?).Fl,1
PAMP Clarkson-1,1
1978.064,1
M-[16--?] (18--?).Fl,1
NYS-[1882?].Fl,1
PAMP Sumner-19,1
1990.006,1
1973.110,1
PAMP ClayH-3,1
PAMP Sunderland-1,1
1977.425,1
PAMP FullerS-1,1
V1984.001,1
1977.290,1
PAMP WilliamsTS-1,1
B P-[1862]a.Fl,1
PAMP McLane-1,1
Q-1852.Fl,1
NYC-1996.Fl,1
PAMP ACPASICAR-1,1
Q-[1873]g.Fl,1
1977.182,1
L.I.-1923.Fd.RA,1
1985.001,1
V1991.085,1
1976.001,1
Luquer-1846.Fl,1
B P-[1838]a.Fl,1
V1989.033,1
B P-[1889?].Fl,1
IPOF LC212.2.E94 2008,1
1977.476,1
PAMP StuartC-1,1
1977.428,1
V1974.038,1
1977.540,1
L.I.-1891.Fl.RA,1
B P-[1854]a.Fl,1
L.I.-[19--?].Fl,1
1977.103,1
Q-[1873]e.Fl,1
NYC-1836.Fl,1
Rev. War-1793 (19--?).Fl c.2,1
B A-1869.A.RA,1
B C-1943.Fl,1
PAMP WalkerR-1,1
ARC.079,1
ARC.253,1
PAMP Motley-1,1
L.I.-1939a.Fl.Folio,1
NYC-1860.Fd.Folio,1
PAMP CCMM-1,1
NYC-1778.Fl.RA,1
B A-1971n.Fl,1
Bergen-1892.Fl,1
1977.170,1
Bergen-1889e.Fl,1
(18)1880,1
PAMP National-1,1
B A-1984.Fl,1
PAMP Baldwin-1,1
1977.427,1
L.I.-[1873].Fl,1
V1986.027,1
1977.384,1
E-US-[16--?] (1986).Fl,1
NYC-[18--?] (1856?).Fl,1
PAMP Issue-1,1
PAMP Fordham-1,1
PAMP Drake-1,1
PAMP Hayden-1,1
PAMP SpearST-1,1
PAMP PickettCE-1,1
1977.118,1
B P-[1839].Fl.Folio,1
B A-[19--?]k.Fl,1
PAMP Calhoun-2,1
PAMP Nebraska-2,1
Bergen-1750 (18--?).Fl,1
PAMP AdamsJQ-1,1
1978.095,1
1991.017,1
CBBG HQ800.2 .M85 2011,1
Q-[18--?]c.Fl,1
PAMP SCC-1,1
N. Amer.-1793.Fl.RA,1
1985.029,1
1973.222,1
Rev. War-[177-?] (18--?).Fl,1
B P-1916-1926.Fd.RA,1
B PP-2009.Fl,1
PAMP ASPNU-1,1
1973.276,1
V1986.028,1
PAMP NCASC-1,1
2007.016,1
PAMP CDAS-1,1
PAMP Cooley-1,1
B P-1867.Fl,1
"DOT-1:9,600 (Mamaroneck-south).Fl.Folio",1
1977.493,1
1978.156,1
ARC.114,1
2007.002,1
PAMP AmCS-15,1
Bergen-1859.Fl.O,1
V1986.005,1
B P-[1891].A,1
Bergen-1877a.Fl,1
PAMP Humphrey-1,1
ARC.244,1
PAMP SAS-1,1
B C-1985b.FL.F,1
ARC.305,1
PAMP MillerS-1,1
PAMP MorseIE-1,1
PAMP ASCFPC-7,1
PAMP Agamon-1,1
1981.006,1
1991.036,1
B P-[1864].Fl,1
1977.050,1
1973.262,1
1977.370,1
L.I.-1884.Fl c.2,1
1977.508,1
NYS-[1914].Fl,1
ARC.102,1
PAMP CFFEMS-1,1
Pierrepont-1840.Fl,1
B A-[19--?].Folded,1
PAMP StearnsEJ-1,1
Q-[1873]c.Fl,1
PAMP PughGE-2,1
(114) L.I.-1944.A.Folio,1
NYC-2006a.Fl,1
2014.014,1
PAMP Lovejoy-1,1
PAMP ECF-1,1
"USGS-1:24,000 (Narrows).Fl",1
B A-1839 (19--?).Fl.Folio,1
PAMP HopkinsM-1,1
PAMP Ganse-1,1
1978.083,1
B A-1884.Fl.RA,1
1986.011,1
B P-1899.Fl,1
B P-1923.Fl,1
1980.024,1
B A-[1897?].Fl,1
2008.020,1
1981.012,1
B P-[189-?].Fl.Folio,1
PAMP Boutwell-2,1
L.I.-1897.Fl.RA,1
