,j
1974.216,1
NYS-1767 (18--?).Fl c.2,1
1991.007,1
PAMP Bright-1,1
ARC.023,1
2000.005,1
CBBG HQ1031 .Y37 2009,1
1973.269,1
Q-1911.Fl.Folio,1
B P-[189-?]f.Fl,1
B P-1816 (18--?).Fl,1
E-US-[1846?].Fl,1
Bergen-1855.Fl,1
V1990.038,1
NYC-[1927?].Fl,1
1973.094,1
PAMP Cheever-4,1
PAMP Bennett-1,1
M-[18--?].Fl,1
1986.012,1
PAMP MAS-2,1
"USGS-1:62,500 (Staten Island).Fl",1
2016.018,1
PAMP Ashley-1,1
1978.190,1
PAMP Sumner-5,1
PAMP AmCS-13,1
PAMP WhiteRG-2,1
PAMP SpearST-2,1
NYS-1797 (1847)b.Fl,1
ARC.172,1
B A-[189-?].Fl,1
PAMP Fay-1,1
Bergen-[1868?]a.Fl,1
B B-1809.Fd,1
L.I.-[1887?].Fl,1
2008.023,1
1990.015,1
PAMP NY-1,1
PAMP LordCE-1,1
ARC.304,1
PAMP Burchard-1,1
1991.018,1
S.I.-2010b.Fl,1
B A-1890 (19--?).Fl,1
PAMP Martineau-1,1
PAMP StephensAH-4,1
1977.292,1
M-[1956?].Fl,1
Mid. Atl.-[1763].Fl.RA,1
V1987.022,1
NYS-1840.Fl,1
V1987.028,1
B C-1985a.Fl.O,1
PAMP Hitchcock-1,1
IPOF E185.B4 1966,1
1977.147,1
B A-1922.Fl,1
PAMP Comstock-1,1
NYC-2005.A,1
NYS-1951.Fl,1
PAMP Lavallee-1,1
PAMP Birney-2,1
E-US-1775.Fl.F.RA,1
PAMP Information-1,1
PAMP ArmstrongJW-1,1
B C-2004.Fl,1
1974.136,1
PAMP Proceedings-1,1
(28)1893,1
PAMP SprattLE-1,1
PAMP Chandler-2,1
CBBG HN49.C6 K73 1993,1
B P-1763 (1817?).Fl,1
Bergen-1887c.Fl,1
(116) L.I.-1954.A,1
NYC-[1871].Fl,1
1979.002,1
PAMP BlairM-1,1
ARC.078,1
V1974.013,1
V1991.057,1
NYC-1766-1767 (1853).Fl c.2,1
Lefferts PR5050.E42a,1
Pierrepont-1820 (1868).Fl,1
B P-[189-?]d.Fl,1
V1997.046,1
PAMP PalfreyJG-2,1
PAMP CampbellLD-3,1
ARC.190,1
PAMP Giddings-1,1
1973.221,1
ARC.164,1
ARC.197,1
1978.046,1
PAMP MasonWP-1,1
1994.011,1
CBBG CT274.M73 M69 2012,1
1977.549,1
1973.299,1
1977.388,1
ARC.215,1
CBBG LC210.6.M4N3 2012,1
1978.197,1
1973.218,1
PAMP AmCS-12,1
B P-[1853]c.Fl.Folio,1
M-[1803?].Fl,1
Bergen-1869.Fl,1
PAMP DEC-2,1
NYC-[1956].Fl,1
