,5
N11833063,2
N11858828,2
N11860256,2
N11833573,2
N11855468,2
N11812052,2
N11845305,2
N11826506,2
N11822715,2
1295978-20,2
N11859630,2
N11824503,2
N11824445,1
N11866850,1
N11857074,1
N11802761,1
N11825174,1
N11803216,1
N11848998,1
N11798653,1
14265000027782,1
N11802763,1
N11801660,1
N11804684,1
N11802084,1
N11779554,1
661091-20,1
N11811177,1
3525570-10,1
N11830129,1
N11827070,1
N11822695,1
N11859267,1
N11817143,1
N11807129,1
N11776190,1
N11810861,1
N11777291,1
N11803018,1
N11836357,1
N11782230,1
N11868416,1
N11813006,1
N11796267,1
N11779493,1
N11861934,1
N11782976,1
N11794444,1
N11845159,1
N11815889,1
N11811391,1
N11819405,1
000027373,1
N11848818,1
778652-10,1
N11809742,1
N11849137,1
N11859141,1
1801665-30,1
3438044-10,1
1569842-30,1
N11836420,1
N11858515,1
N11771863,1
4139115-10,1
N11804053,1
N11797784,1
N11844938,1
N11802836,1
N11858492,1
N11858518,1
N11822259,1
N11809380,1
N11859634,1
N11816048,1
N11805589,1
N11844529,1
N11826102,1
4213798-10,1
N11799360,1
4228881-10,1
N11818069,1
2554712-30,1
6323297-10,1
N11794360,1
N11813551,1
N11817792,1
N11813280,1
N11821573,1
N11845556,1
N11857999,1
687660-20,1
N11818910,1
000028544,1
N11801803,1
N11817822,1
N11776914,1
N11810695,1
N11859540,1
N11771892,1
N11826635,1
N11822238,1
N11820149,1
1479299-20,1
14265000025968,1
N11795022,1
N11829060,1
14265000028673,1
N11803441,1
N11801191,1
1243755-30,1
1361756-30,1
N11800653,1
N11803809,1
N11866628,1
N11779820,1
N11819386,1
638783-20,1
N11814748,1
N11799351,1
N11800030,1
N11830473,1
N11828044,1
N11820434,1
N11812131,1
N11855746,1
N11797256,1
N11830251,1
N11859896,1
N11801635,1
N11849065,1
363814-30,1
N11833626,1
N11810189,1
N11811281,1
N11860556,1
N11805823,1
N11821649,1
N11801802,1
N11819432,1
N11816096,1
N11836561,1
N11815016,1
N11835052,1
14265000033053,1
N11849112,1
14265000031610,1
N11806580,1
N11824140,1
N11820455,1
N11792896,1
14265000030190,1
420602-60,1
N11823374,1
N11785364,1
000027748,1
N11807167,1
N11813630,1
14265000033012,1
607616-20,1
N11793805,1
N11794900,1
N11806327,1
N11815582,1
N11833853,1
N11825036,1
N11852441,1
N11857486,1
N11816326,1
N11833823,1
4571526-10,1
N11810986,1
N11833443,1
N11795542,1
N11803204,1
N11829324,1
N11793366,1
N11868324,1
N11859414,1
N11836148,1
289573-30,1
N11782800,1
14265000029796,1
N11800039,1
N11834451,1
N11811524,1
N11856204,1
N11826613,1
N11812902,1
N11833316,1
14265000024722,1
N11823310,1
000028583,1
N11829546,1
N11798621,1
N11835159,1
4141115-10,1
N11780493,1
3452540-10,1
N11829076,1
N11840864,1
N11813756,1
4203610-10,1
N11812200,1
N11867509,1
N11833787,1
N11808450,1
14265000029465,1
N11811574,1
N11818894,1
N11855325,1
N11829387,1
N11803469,1
448167-10,1
N11855830,1
N11797052,1
610377-20,1
N11807913,1
N11800392,1
N11804169,1
N11798260,1
N11833073,1
N11826420,1
N11828559,1
N11822846,1
N11848720,1
N11855563,1
N11809271,1
3293039-30,1
N11819012,1
N11824243,1
N11821457,1
N11805011,1
N11832621,1
N11810094,1
N11809830,1
N11857896,1
N11803239,1
3415562-30,1
N11836241,1
1765410-30,1
N11803900,1
N11848629,1
N11836798,1
N11797168,1
N11824775,1
N11819865,1
N11817176,1
N11798583,1
000032973,1
N11800014,1
N11856904,1
N11787009,1
N11861595,1
3437004-10,1
N11814395,1
N11830511,1
N11812733,1
N11778873,1
N11833497,1
N11809870,1
N11833074,1
N11823462,1
N11822838,1
N11823675,1
N11815765,1
N11866802,1
N11858314,1
N11811886,1
N11861079,1
N11830091,1
N11860657,1
N11798448,1
N11829804,1
N11800103,1
N11859337,1
N11804652,1
N11859473,1
610228-20,1
N11822154,1
N11836791,1
N11797084,1
N11804271,1
N11859659,1
N11803224,1
N11814731,1
N11817406,1
602398-50,1
N11801024,1
1619562-30,1
N11836371,1
377994-20,1
N11831943,1
000027893,1
N11802553,1
N11804203,1
N11799639,1
N11811633,1
N11836178,1
N11795177,1
000027585,1
N11828645,1
612660-20,1
3597319-10,1
N11798024,1
N11830040,1
N11806643,1
N11830063,1
N11803273,1
000028108,1
N11812077,1
N11817773,1
N11811974,1
N11794743,1
N11818720,1
615377-20,1
N11795555,1
14265000027337,1
N11800130,1
N11802245,1
5014744-10,1
N11807961,1
N11779415,1
651453-30,1
N11779447,1
610536-20,1
N11810652,1
N11831922,1
N11859092,1
N11858352,1
14265000031214,1
N11811280,1
4463834-10,1
N11861329,1
N11830917,1
000027473,1
000028469,1
576725-30,1
N11811334,1
N11825628,1
N11800717,1
14265000018302,1
N11855702,1
N11832400,1
N11860267,1
N11861868,1
N11805890,1
N11799797,1
N11826408,1
N11831799,1
N11774805,1
N11829100,1
N11799448,1
N11858569,1
N11802172,1
N11836804,1
N11779618,1
N11861240,1
N11811783,1
N11826583,1
N11852702,1
14265000020183,1
N11798474,1
N11806302,1
N11801887,1
N11776847,1
1511190-20,1
N11830774,1
N11778298,1
N11868471,1
N11771909,1
14265000030679,1
000027627,1
N11801084,1
N11840745,1
N11834342,1
N11787020,1
N11800362,1
N11807263,1
N11803634,1
N11804438,1
N11855314,1
N11828672,1
N11820593,1
N11777147,1
N11797307,1
N11812154,1
N11820731,1
N11810874,1
6198510-10,1
N11812872,1
N11830021,1
N11807201,1
N11832623,1
N11799264,1
N11794618,1
N11819113,1
N11801368,1
N11801069,1
N11821723,1
N11822867,1
N11803979,1
N11826632,1
N11812262,1
609396-20,1
N11772092,1
N11860384,1
N11799771,1
N11868945,1
N11800092,1
N11810916,1
N11807121,1
330507-30,1
N11818025,1
N11832548,1
N11813084,1
N11826104,1
N11835672,1
N11833318,1
N11811908,1
N11818172,1
N11855487,1
N11826885,1
N11783419,1
N11812151,1
N11799165,1
N11826854,1
N11836538,1
N11801062,1
N11809025,1
N11805727,1
N11827475,1
N11817703,1
3439782-10,1
N11861094,1
N11824842,1
N11861903,1
983495-30,1
1390460-30,1
N11818585,1
N11819875,1
N11855497,1
N11859591,1
N11827026,1
N11861168,1
N11777642,1
N11800593,1
N11855849,1
N11800521,1
N11815979,1
N11778840,1
N11829575,1
N11818313,1
2577926-40,1
000028076,1
6334361-20,1
N11810813,1
N11823383,1
N11866948,1
N11779850,1
N11809954,1
N11834533,1
N11800058,1
N11818945,1
N11821583,1
N11857479,1
N11813574,1
N11857174,1
N11804419,1
1292470-30,1
N11806883,1
N11826452,1
610393-20,1
000027374,1
N11824135,1
N11798548,1
1384596-30,1
N11816508,1
N11827018,1
1295714-30,1
N11831007,1
N11868145,1
N11855608,1
N11817902,1
000027424,1
N11816110,1
N11855882,1
N11808844,1
N11804054,1
N11815839,1
4220716-10,1
N11835298,1
000028640,1
N11806514,1
1295557-30,1
1583668-50,1
N11800598,1
N11804127,1
N11803126,1
N11798967,1
N11815420,1
N11826995,1
N11849072,1
14265000022320,1
N11826366,1
N11832075,1
N11826796,1
N11805175,1
N11817949,1
N11860561,1
N11838138,1
N11814336,1
5014747-10,1
713997-190,1
N11844340,1
N11795230,1
N11866912,1
N11861679,1
N11861866,1
N11815354,1
N11809821,1
3449191-10,1
N11817788,1
N11801601,1
N11799671,1
N11848936,1
N11805819,1
N11814981,1
N11774720,1
6218315-40,1
14265000024680,1
N11824974,1
5895258-10,1
14265000030919,1
N11832222,1
N11811282,1
N11818697,1
N11860437,1
N11821163,1
3400135-10,1
N11803003,1
N11779491,1
N11852848,1
000027947,1
N11868460,1
N11795028,1
N11852424,1
N11824656,1
N11808089,1
N11812299,1
N11868641,1
N11782155,1
N11821205,1
N11820720,1
N11822401,1
3132953-20,1
N11852805,1
N11830481,1
N11778881,1
000028305,1
N11806880,1
N11825028,1
N11856663,1
N11826965,1
N11811881,1
N11825269,1
N11836274,1
N11811898,1
N11803340,1
N11805548,1
N11855890,1
N11859884,1
N11773439,1
N11778154,1
N11796608,1
N11826916,1
N11785255,1
3994868-10,1
N11777917,1
N11829761,1
N11837057,1
N11779374,1
N11811609,1
N11811490,1
N11796171,1
N11844533,1
N11828200,1
N11820763,1
N11827320,1
N11812137,1
524124-30,1
N11795039,1
N11797042,1
N11809639,1
N11820520,1
N11831456,1
N11801466,1
N11823584,1
N11791319,1
N11826078,1
N11800097,1
N11859726,1
692794-20,1
N11796493,1
N11802612,1
N11777982,1
3682649-20,1
N11822309,1
N11779168,1
N11826308,1
N11856582,1
N11822389,1
N11859708,1
N11803341,1
N11813656,1
N11799343,1
N11820061,1
1298966-20,1
4994828-10,1
N11798335,1
N11812096,1
N11834318,1
N11836225,1
N11807664,1
N11829885,1
N11807010,1
N11801308,1
N11793437,1
N11833624,1
N11807122,1
N11808134,1
N11825357,1
N11865737,1
N11817129,1
N11828186,1
492430-40,1
N11845363,1
N11826542,1
N11811365,1
N11856198,1
N11777418,1
1389070-20,1
N11869141,1
N11833317,1
N11836879,1
N11811937,1
N11826130,1
N11861243,1
N11810657,1
N11824743,1
N11835506,1
N11792578,1
N11833045,1
N11816196,1
N11863516,1
N11812235,1
N11822219,1
N11836419,1
N11816855,1
N11812185,1
N11824294,1
N11836848,1
5014750-10,1
N11822033,1
N11812502,1
N11818147,1
N11861328,1
N11798093,1
N11829528,1
N11807795,1
N11825868,1
N11857500,1
N11805670,1
N11861467,1
14265000024086,1
N11804045,1
3155490-20,1
000027368,1
2012158-20,1
N11773548,1
N11807747,1
N11810610,1
N11855846,1
N11830023,1
N11828070,1
2480191-60,1
N11805877,1
N11861150,1
N11830551,1
N11829978,1
N11802117,1
000028067,1
000028116,1
N11814717,1
14265000027535,1
N11828862,1
3122685-20,1
N11795576,1
N11782233,1
N11855696,1
N11833514,1
N11826971,1
N11802549,1
N11870362,1
N11804565,1
N11873253,1
N11837272,1
N11836159,1
N11873235,1
N11792523,1
N11812141,1
N11831133,1
N11806250,1
N11798903,1
N11829036,1
N11822432,1
N11812343,1
N11813586,1
3157653-20,1
N11815272,1
N11777429,1
N11809822,1
N11802447,1
N11827087,1
000032936,1
N11836455,1
N11824780,1
14265000025844,1
N11823629,1
N11815429,1
N11803990,1
N11833195,1
N11787693,1
1693303-40,1
N11800159,1
N11809489,1
N11855742,1
N11828847,1
N11856861,1
N11858201,1
3410520-30,1
N11840977,1
3623133-10,1
N11833582,1
N11818545,1
N11796916,1
N11858491,1
N11829843,1
1359518-20,1
N11810188,1
N11803763,1
N11819415,1
N11811873,1
N11858626,1
N11812105,1
N11858988,1
N11824167,1
14265000025711,1
N11868847,1
N11826629,1
N11833825,1
4220715-10,1
N11804109,1
N11799379,1
N11772807,1
N11867442,1
N11823725,1
000028093,1
N11802113,1
N11849088,1
14265000022452,1
N11844563,1
1310764-40,1
N11828730,1
N11776354,1
3577728-10,1
N11805256,1
N11808980,1
N11784464,1
N11813528,1
N11859868,1
N11855685,1
N11809776,1
000028625,1
N11828636,1
N11859193,1
N11805293,1
1312761-30,1
N11823597,1
N11812360,1
6059146-10,1
N11822738,1
N11836433,1
N11840900,1
N11808015,1
N11800479,1
N11861101,1
N11836090,1
N11793492,1
N11818554,1
N11833754,1
N11826376,1
N11856529,1
N11814486,1
N11782655,1
4259033-10,1
N11775447,1
N11814505,1
N11828989,1
N11824912,1
4225925-10,1
N11829310,1
14265000032774,1
N11772951,1
N11866925,1
N11798946,1
N11794606,1
N11798269,1
N11807771,1
N11858703,1
N11823733,1
N11860399,1
6328033-20,1
N11810005,1
N11814740,1
N11822326,1
N11824451,1
N11804326,1
N11859526,1
N11832617,1
N11793309,1
000028691,1
N11816098,1
N11807460,1
N11858251,1
3597356-10,1
N11797313,1
4978495-10,1
N11848970,1
N11771865,1
N11799535,1
N11858701,1
N11833079,1
N11782819,1
N11861527,1
N11822763,1
N11837085,1
N11821015,1
N11802543,1
3444681-10,1
14265000033855,1
N11856932,1
N11827981,1
000032908,1
N11861588,1
N11826584,1
N11855375,1
N11822129,1
N11802223,1
N11822940,1
N11803823,1
2602934-50,1
N11829981,1
N11830812,1
N11830256,1
000028498,1
N11796569,1
N11822305,1
N11818311,1
N11811033,1
N11776376,1
N11798080,1
N11775155,1
N11807874,1
N11836015,1
N11830200,1
N11775772,1
N11780183,1
N11784630,1
N11819478,1
000027746,1
N11803862,1
N11868651,1
N11830543,1
N11778153,1
N11784094,1
N11803053,1
N11812877,1
N11823551,1
N11814971,1
N11803252,1
N11822936,1
N11831968,1
N11836161,1
N11794457,1
N11811984,1
N11807646,1
608776-30,1
N11844838,1
N11777502,1
900956-20,1
424346-10,1
N11826504,1
N11807823,1
N11808119,1
N11817867,1
5893154-10,1
N11811221,1
N11824415,1
N11858686,1
N11810363,1
N11807614,1
6056441-10,1
1705437-30,1
N11793449,1
N11815791,1
000027743,1
N11777639,1
N11798336,1
1984890-30,1
N11825767,1
N11803949,1
N11815970,1
N11857740,1
N11777329,1
N11858017,1
N11823958,1
N11817396,1
N11773767,1
N11831301,1
N11866936,1
N11804920,1
4210332-10,1
N11812008,1
N11806044,1
N11777566,1
000027360,1
558968-30,1
N11835645,1
N11817233,1
000027691,1
N11855839,1
N11836437,1
N11844908,1
N11812837,1
N11809551,1
N11812176,1
N11859284,1
N11868839,1
3606336-10,1
N11800540,1
N11804655,1
N11800529,1
N11836952,1
N11813628,1
N11859195,1
N11803675,1
N11844595,1
2496843-70,1
14265000021678,1
N11858204,1
N11794036,1
4231732-10,1
N11815743,1
N11868432,1
14265000022874,1
N11818668,1
N11857523,1
N11774099,1
N11809633,1
N11818199,1
N11852918,1
N11823330,1
N11828883,1
N11806464,1
4159947-10,1
N11777709,1
N11803561,1
N11795585,1
420733-10,1
N11869041,1
000027508,1
N11826293,1
N11794731,1
N11829636,1
N11820230,1
N11860975,1
N11819369,1
N11806419,1
N11823345,1
N11814579,1
N11825795,1
N11823661,1
N11771760,1
N11804450,1
N11793441,1
N11836807,1
3591268-10,1
N11801947,1
N11818955,1
3251568-10,1
N11868742,1
3516279-20,1
N11856935,1
N11836666,1
N11814653,1
N11784718,1
N11820062,1
4025188-10,1
N11849012,1
N11801181,1
N11770717,1
N11823734,1
N11835178,1
000028225,1
N11824724,1
N11858821,1
N11858361,1
N11812038,1
N11825879,1
000028271,1
2697909-70,1
N11784118,1
000028659,1
N11798434,1
N11834141,1
000028397,1
329811-20,1
N11814242,1
N11808132,1
14265000029861,1
N11774619,1
000028262,1
N11806854,1
N11830530,1
3288714-10,1
N11831405,1
N11825890,1
N11801649,1
N11826320,1
N11815869,1
668664-20,1
N11809682,1
14265000022908,1
N11804037,1
000027950,1
N11771826,1
N11811834,1
14265000033327,1
N11861133,1
N11796494,1
N11807644,1
N11826887,1
N11855759,1
N11861905,1
N11860251,1
420520-180,1
14265000034416,1
14265000023211,1
N11801085,1
N11811853,1
N11775446,1
000028188,1
N11802775,1
N11795590,1
14265000019383,1
N11818041,1
N11812350,1
N11796487,1
N11798141,1
N11778939,1
N11803396,1
N11825920,1
N11819839,1
N11778864,1
N11792566,1
N11802298,1
N11810217,1
N11857907,1
N11807168,1
N11829975,1
000027726,1
N11834538,1
N11800532,1
N11774413,1
N11827566,1
N11866859,1
N11822861,1
N11848547,1
14265000026529,1
4978387-10,1
N11822741,1
5895242-10,1
000028198,1
N11783795,1
N11777200,1
N11844698,1
3151134-20,1
N11804070,1
N11831781,1
N11824827,1
N11859308,1
N11855353,1
N11816036,1
N11817469,1
607061-20,1
3597323-10,1
N11831348,1
N11793430,1
N11823542,1
N11804341,1
N11857271,1
N11777843,1
N11819366,1
N11827770,1
N11820013,1
000028119,1
N11773073,1
N11812170,1
N11823598,1
N11845081,1
N11858600,1
N11798680,1
N11816119,1
N11797904,1
N11840781,1
N11822699,1
N11833622,1
N11811163,1
N11860817,1
N11836836,1
N11806346,1
N11852895,1
14265000021637,1
N11844655,1
N11865763,1
N11803353,1
N11826038,1
N11797354,1
N11836794,1
N11865678,1
N11841138,1
N11808334,1
N11824795,1
N11830903,1
3140147-30,1
N11858573,1
N11801525,1
14265000024813,1
N11806351,1
000028228,1
N11826710,1
N11817139,1
N11826472,1
N11801040,1
N11837614,1
N11800367,1
N11779292,1
3213106-30,1
N11818391,1
N11819605,1
N11773800,1
N11827531,1
N11807917,1
N11805051,1
N11823717,1
N11868473,1
N11797264,1
N11806303,1
N11866646,1
N11860442,1
N11815020,1
N11860789,1
N11796654,1
N11796669,1
N11803546,1
000028123,1
N11844542,1
N11870039,1
N11798821,1
N11860684,1
N11834649,1
N11822254,1
N11801186,1
N11803663,1
N11836152,1
N11779001,1
N11825636,1
N11800954,1
N11859962,1
000027824,1
N11811872,1
N11779592,1
N11798912,1
5925740-10,1
N11827854,1
N11799791,1
N11816113,1
N11797440,1
N11800440,1
N11855458,1
5917891-10,1
N11793238,1
N11783977,1
4541607-10,1
4068942-20,1
N11836742,1
14265000024177,1
N11778616,1
N11868729,1
N11801654,1
N11861917,1
N11820794,1
N11807741,1
N11784536,1
N11800899,1
N11840770,1
N11778969,1
N11844495,1
N11844366,1
N11794215,1
N11832416,1
N11797682,1
N11820684,1
N11812953,1
N11821077,1
N11796136,1
N11831890,1
N11835458,1
N11827799,1
N11828736,1
N11808436,1
N11833950,1
N11780094,1
N11796062,1
N11816668,1
N11858640,1
N11779084,1
N11860540,1
N11859043,1
N11806616,1
N11817617,1
602815-30,1
000027570,1
N11868855,1
N11782946,1
N11809873,1
N11825065,1
N11859205,1
N11868500,1
N11819020,1
N11844719,1
N11822487,1
N11825670,1
N11868799,1
N11813248,1
3148609-20,1
N11799280,1
N11854391,1
N11829218,1
000027572,1
5014741-10,1
611676-30,1
N11771948,1
N11809526,1
N11795552,1
N11798318,1
N11798757,1
N11787710,1
N11806958,1
N11824528,1
N11806771,1
N11811186,1
000028467,1
N11810370,1
14265000026701,1
N11794754,1
N11787691,1
N11796832,1
N11856450,1
N11812356,1
N11806214,1
N11840567,1
N11795536,1
N11820136,1
N11805773,1
N11773717,1
N11786985,1
N11865835,1
N11830209,1
N11838792,1
N11777738,1
N11852874,1
N11798589,1
N11778763,1
N11804055,1
N11805118,1
N11784688,1
N11855801,1
N11799779,1
N11815140,1
662480-30,1
N11777744,1
1540933-20,1
N11805913,1
N11857638,1
N11802797,1
N11801479,1
N11861187,1
N11825266,1
5029546-10,1
N11814325,1
N11798970,1
N11822475,1
N11822464,1
1290240-20,1
14265000028582,1
N11836140,1
N11810631,1
610236-20,1
608473-20,1
N11829996,1
N11861070,1
N11804399,1
N11832579,1
N11798165,1
N11858373,1
N11829604,1
N11857922,1
N11868783,1
3597317-10,1
N11812167,1
N11818598,1
N11816856,1
N11777156,1
N11809923,1
N11783428,1
N11858746,1
N11803269,1
N11811822,1
N11857819,1
N11833785,1
N11852810,1
610515-30,1
14265000018799,1
N11812042,1
N11830062,1
N11844775,1
N11830233,1
N11838661,1
N11835005,1
N11802782,1
N11833599,1
N11822224,1
N11801357,1
N11820716,1
N11807227,1
N11868338,1
N11858102,1
000027454,1
N11835857,1
N11825277,1
798628-20,1
N11778985,1
N11796101,1
N11829336,1
14265000023484,1
N11817393,1
N11860006,1
N11844365,1
N11836573,1
14265000020654,1
N11819451,1
N11818162,1
000028143,1
N11832550,1
N11798953,1
N11801983,1
N11804334,1
N11807657,1
N11811231,1
N11827571,1
N11775437,1
N11840546,1
N11799887,1
N11798605,1
3613372-10,1
N11805925,1
N11800867,1
N11868218,1
N11807977,1
N11819066,1
N11828374,1
N11813077,1
511375-10,1
N11833859,1
N11855664,1
N11840943,1
N11777404,1
N11801014,1
N11803870,1
N11802363,1
N11831734,1
N11801532,1
4096263-10,1
N11826618,1
N11831988,1
N11840964,1
N11835185,1
N11809802,1
N11809898,1
N11798275,1
N11829717,1
1294266-20,1
N11866702,1
N11774108,1
1322401-50,1
N11784731,1
N11808354,1
N11811238,1
N11798940,1
N11858978,1
N11798958,1
N11803445,1
000028372,1
N11846795,1
N11859257,1
N11815136,1
N11778832,1
000027750,1
000028474,1
4155163-10,1
769759-230,1
000028551,1
N11829241,1
N11800891,1
000028542,1
N11815421,1
1521100-30,1
000027581,1
N11807007,1
N11814386,1
3260718-30,1
N11832575,1
N11804336,1
N11848699,1
N11856888,1
N11816722,1
N11852756,1
N11836118,1
N11797238,1
N11799461,1
N11826631,1
N11821466,1
N11808480,1
N11866950,1
N11809046,1
N11833662,1
N11856390,1
N11807738,1
N11806451,1
610783-20,1
N11868745,1
N11781124,1
N11857972,1
N11796892,1
N11792457,1
N11784405,1
N11860454,1
1301618-30,1
N11812133,1
N11810422,1
5029537-10,1
14265000025257,1
N11833526,1
14265000026388,1
N11834307,1
N11835167,1
1560775-30,1
N11836182,1
3449477-10,1
N11857902,1
N11821396,1
N11802530,1
N11814039,1
N11782595,1
N11821014,1
N11800495,1
N11805641,1
N11810946,1
N11777355,1
N11821713,1
N11823644,1
N11857503,1
N11823539,1
N11815976,1
N11816861,1
N11861675,1
N11844737,1
N11827360,1
N11813977,1
N11823475,1
N11849106,1
1482530-30,1
N11866942,1
N11799690,1
N11866645,1
N11797617,1
N11802181,1
N11836426,1
5887051-10,1
N11856941,1
N11818047,1
N11802900,1
N11813262,1
N11836488,1
000027630,1
416825-20,1
N11862404,1
N11830258,1
N11825272,1
N11845008,1
N11790731,1
N11814475,1
N11818029,1
N11771791,1
N11805580,1
N11861300,1
N11818938,1
N11857809,1
N11806851,1
N11855536,1
N11812002,1
N11861089,1
N11803683,1
N11776148,1
N11822825,1
N11780237,1
N11826760,1
14265000034473,1
N11775916,1
N11833468,1
N11811495,1
5925725-10,1
N11832711,1
000027385,1
3503877-20,1
N11812019,1
N11807384,1
N11832851,1
N11833281,1
N11861400,1
N11801801,1
N11832914,1
N11822986,1
N11810900,1
N11785365,1
N11852369,1
N11803563,1
N11800063,1
N11826346,1
N11801017,1
N11795573,1
N11830483,1
N11826340,1
14265000033087,1
N11813245,1
N11836779,1
N11824898,1
N11784456,1
3597342-10,1
N11805633,1
N11869845,1
000027415,1
N11805459,1
N11857909,1
N11836837,1
N11845108,1
N11807365,1
N11802997,1
N11803744,1
N11793265,1
N11800543,1
N11815930,1
14265000031206,1
N11795002,1
N11810897,1
N11817648,1
N11806621,1
N11784491,1
N11769609,1
000027382,1
N11777619,1
N11820726,1
N11838330,1
1380073-40,1
N11801673,1
N11820009,1
N11829899,1
N11785396,1
N11868615,1
N11795925,1
N11780056,1
N11802185,1
N11832404,1
N11869044,1
N11815855,1
N11828845,1
N11802258,1
N11859378,1
N11829833,1
14265000018815,1
N11848848,1
N11845333,1
N11844544,1
N11859637,1
N11802409,1
N11796940,1
611423-20,1
N11847333,1
1310397-20,1
N11836674,1
N11861044,1
N11796334,1
N11815973,1
N11772147,1
N11833465,1
1485138-20,1
N11794265,1
N11794732,1
N11855795,1
910418-20,1
N11858809,1
N11800448,1
N11855562,1
N11813537,1
N11831363,1
N11826282,1
N11792856,1
N11821019,1
N11783398,1
N11799661,1
658358-30,1
N11836627,1
N11804317,1
N11802466,1
N11821739,1
N11859592,1
N11857219,1
N11818329,1
N11800040,1
N11821589,1
N11822539,1
000028605,1
N11810139,1
N11836865,1
N11779483,1
6344247-10,1
000032982,1
N11784617,1
N11845098,1
N11860253,1
N11832521,1
4127594-10,1
N11785410,1
N11836391,1
N11826430,1
N11809892,1
3384874-20,1
N11811557,1
N11804995,1
N11799680,1
N11779583,1
N11829799,1
N11798415,1
14265000028293,1
N11800341,1
N11816767,1
N11806855,1
N11848138,1
N11794499,1
N11848700,1
N11810769,1
N11859462,1
4852864-10,1
N11799139,1
2578155-70,1
N11794294,1
N11779304,1
N11833602,1
N11834736,1
N11858717,1
N11817948,1
N11796472,1
14265000018450,1
N11837058,1
4267136-10,1
N11807241,1
N11822786,1
N11822012,1
000027633,1
597093-30,1
N11795453,1
N11815014,1
6063855-10,1
N11802967,1
N11822850,1
N11835915,1
N11796591,1
N11826337,1
N11814301,1
1575994-720,1
N11838379,1
N11830214,1
N11814867,1
N11846524,1
N11835319,1
N11798135,1
N11814509,1
N11777779,1
N11845334,1
N11818752,1
N11801083,1
N11818259,1
N11778630,1
N11774839,1
N11793414,1
N11831989,1
N11810149,1
N11844505,1
N11831732,1
N11827166,1
N11833897,1
N11856522,1
N11808106,1
N11802735,1
N11812433,1
N11825612,1
N11802679,1
N11779609,1
N11812422,1
000028606,1
N11833740,1
N11828848,1
N11822469,1
N11861227,1
000028444,1
N11808014,1
N11811229,1
N11794410,1
N11858813,1
N11833238,1
000028220,1
N11858869,1
N11804867,1
N11794793,1
N11809916,1
N11831675,1
4570114-10,1
N11859088,1
14265000029291,1
000028552,1
N11815023,1
N11800868,1
N11816094,1
N11804968,1
N11821706,1
N11784624,1
N11814328,1
14265000031248,1
N11816138,1
N11840698,1
N11817718,1
N11800541,1
N11858096,1
N11810981,1
000032947,1
N11809361,1
3617079-10,1
N11775399,1
N11793472,1
N11780513,1
N11784408,1
N11824963,1
N11793234,1
N11782774,1
N11805224,1
N11816001,1
N11782657,1
N11836686,1
N11811972,1
N11825837,1
N11792818,1
N11858578,1
N11837076,1
N11771838,1
N11820059,1
N11865641,1
N11832376,1
N11775137,1
3434233-10,1
14265000033491,1
N11810400,1
N11859508,1
N11812107,1
N11809514,1
N11833733,1
N11803011,1
N11809225,1
5887059-10,1
708678-20,1
N11804554,1
N11838642,1
4258934-10,1
5824981-10,1
N11823194,1
N11827998,1
N11829953,1
N11859712,1
N11776895,1
N11822011,1
